cell_id,theta_skew_deg,z,regime
0,78.518,2.165,low
1,78.518,2.165,low
2,88.530,1.920,low
3,70.448,2.413,low
4,88.530,1.920,low
5,76.264,2.229,low
6,76.818,2.213,low
7,68.964,2.465,low
8,88.282,1.926,low
9,88.282,1.926,low
10,75.515,2.251,low
11,86.898,1.956,low
12,88.542,1.920,low
13,63.503,2.677,low
14,69.306,2.453,low
15,82.372,2.064,low
16,83.070,2.046,low
17,75.515,2.251,low
18,86.470,1.966,low
19,79.525,2.138,low
20,81.275,2.092,low
21,77.609,2.190,low
22,88.202,1.927,low
23,81.800,2.078,low
24,74.895,2.270,low
25,76.619,2.219,low
26,74.437,2.284,low
27,74.537,2.281,low
28,86.164,1.973,low
29,78.144,2.175,low
30,87.575,1.941,low
31,89.973,1.889,low
32,87.640,1.940,low
33,85.962,1.978,low
34,80.468,2.113,low
35,89.878,1.891,low
36,83.070,2.046,low
37,76.716,2.216,low
38,59.221,2.871,low
39,86.009,1.977,low
40,78.724,2.159,low
41,78.799,2.157,low
42,85.059,1.999,low
43,85.059,1.999,low
44,86.470,1.966,low
45,70.371,2.416,low
46,81.377,2.089,low
47,89.124,1.907,low
48,89.124,1.907,low
49,88.847,1.913,low
50,83.287,2.041,low
51,83.860,2.027,low
52,83.253,2.042,low
53,83.454,2.037,low
54,82.603,2.058,low
55,79.465,2.139,low
56,88.432,1.922,low
57,80.469,2.113,low
58,89.666,1.896,low
59,79.434,2.140,low
60,75.727,2.245,low
61,68.305,2.489,low
62,85.841,1.980,low
63,74.907,2.269,low
64,44.604,3.811,trans
65,81.130,2.095,low
66,75.506,2.251,low
67,88.202,1.927,low
68,80.234,2.119,low
69,55.319,3.073,trans
70,44.604,3.811,trans
71,69.567,2.444,low
72,75.536,2.251,low
73,81.275,2.092,low
74,76.773,2.214,low
75,77.149,2.204,low
76,79.095,2.149,low
77,63.448,2.679,low
78,82.596,2.058,low
79,89.189,1.906,low
80,89.189,1.906,low
81,81.800,2.078,low
82,89.285,1.904,low
83,62.330,2.727,low
84,89.285,1.904,low
85,72.612,2.341,low
86,82.762,2.054,low
87,89.339,1.903,low
88,70.958,2.396,low
89,69.283,2.454,low
90,79.396,2.141,low
91,85.230,1.995,low
92,85.029,1.999,low
93,78.914,2.154,low
94,85.356,1.992,low
95,86.940,1.955,low
96,76.319,2.227,low
97,86.940,1.955,low
98,85.810,1.981,low
99,69.529,2.445,low
100,86.805,1.958,low
101,76.879,2.211,low
102,79.329,2.143,low
103,81.493,2.086,low
104,88.455,1.922,low
105,68.608,2.478,low
106,70.938,2.396,low
107,86.141,1.974,low
108,87.189,1.950,low
109,89.053,1.909,low
110,85.706,1.984,low
111,85.766,1.982,low
112,75.023,2.266,low
113,86.714,1.960,low
114,84.699,2.007,low
115,82.182,2.069,low
116,87.672,1.939,low
117,89.791,1.893,low
118,89.179,1.906,low
119,60.358,2.817,low
120,57.757,2.943,low
121,87.917,1.934,low
122,87.917,1.934,low
123,88.926,1.912,low
124,74.034,2.296,low
125,87.512,1.943,low
126,87.512,1.943,low
127,69.458,2.448,low
128,82.898,2.051,low
129,89.673,1.896,low
130,87.667,1.939,low
131,81.119,2.096,low
132,89.542,1.899,low
133,89.542,1.899,low
134,84.102,2.021,low
135,83.251,2.042,low
136,87.552,1.942,low
137,87.672,1.939,low
138,89.791,1.893,low
139,89.179,1.906,low
140,87.552,1.942,low
141,81.599,2.083,low
142,88.937,1.911,low
143,79.644,2.135,low
144,79.644,2.135,low
145,86.087,1.975,low
146,72.613,2.341,low
147,71.975,2.362,low
148,85.333,1.992,low
149,89.237,1.905,low
150,80.939,2.100,low
151,80.939,2.100,low
152,85.153,1.996,low
153,85.842,1.980,low
154,72.826,2.334,low
155,82.314,2.065,low
156,82.314,2.065,low
157,82.770,2.054,low
158,84.946,2.001,low
159,88.843,1.913,low
160,73.923,2.300,low
161,84.780,2.005,low
162,69.549,2.444,low
163,86.829,1.958,low
164,73.657,2.308,low
165,75.177,2.261,low
166,78.531,2.165,low
167,81.486,2.086,low
168,77.656,2.189,low
169,89.369,1.902,low
170,85.792,1.982,low
171,87.859,1.935,low
172,79.825,2.130,low
173,88.503,1.921,low
174,88.503,1.921,low
175,85.851,1.980,low
176,87.317,1.947,low
177,87.575,1.941,low
178,77.980,2.180,low
179,86.751,1.960,low
180,89.670,1.896,low
181,82.900,2.051,low
182,78.765,2.158,low
183,88.814,1.914,low
184,88.814,1.914,low
185,62.436,2.723,low
186,87.640,1.940,low
187,88.963,1.911,low
188,84.330,2.016,low
189,79.678,2.134,low
190,83.952,2.025,low
191,77.543,2.192,low
192,78.914,2.154,low
193,83.416,2.038,low
194,89.685,1.896,low
195,87.655,1.939,low
196,78.784,2.158,low
197,77.830,2.184,low
198,89.144,1.907,low
199,76.363,2.226,low
200,76.563,2.220,low
201,84.326,2.016,low
202,68.823,2.470,low
203,67.834,2.506,low
204,76.985,2.208,low
205,70.586,2.408,low
206,76.985,2.208,low
207,68.460,2.483,low
208,78.981,2.152,low
209,81.064,2.097,low
210,81.413,2.088,low
211,79.744,2.132,low
212,79.744,2.132,low
213,68.512,2.481,low
214,74.760,2.274,low
215,84.429,2.014,low
216,65.907,2.579,low
217,79.613,2.135,low
218,79.613,2.135,low
219,82.145,2.070,low
220,87.206,1.949,low
221,87.206,1.949,low
222,62.272,2.730,low
223,89.931,1.890,low
224,75.808,2.243,low
225,85.237,1.994,low
226,80.964,2.100,low
