nu,kobs_frac,eps_rel,tau_req,tau,rmse_fwd,rmse_bwd_best,spread,accepted_count,threshold,status
0.002,16,0.001,0.25,0.24987326065427573,2.3542785587487446e-16,,,0,2.63956008676467,no_identifiable_set
0.002,16,0.001,0.6428571428571428,0.642985970091257,2.2990184105597977e-16,,,0,2.63956008676467,no_identifiable_set
0.002,16,0.001,1.0357142857142856,1.0360986795282388,6.3759561932931e-16,,,0,2.63956008676467,no_identifiable_set
0.002,16,0.001,1.4285714285714286,1.4292113889652203,3.961696533773191e-16,1.696426571537229,0.0,1,2.63956008676467,ok
0.002,16,0.001,1.8214285714285714,1.8207325489712827,7.998133704419733e-16,0.9828395458151686,0.25958293771443547,8,2.63956008676467,ok
0.002,16,0.001,2.2142857142857144,2.213845258408264,3.2636911725023685e-16,0.7877421231808357,0.27876400374190813,10,2.63956008676467,ok
0.002,16,0.001,2.607142857142857,2.6069579678452457,1.367460059274547e-15,0.6214421405848736,0.3024883483286792,11,2.63956008676467,ok
0.002,16,0.001,3.0,3.000070677282227,9.472559185120372e-16,0.5043868883447261,0.28229775434479576,9,2.63956008676467,ok
0.002,16,0.01,0.25,0.24987326065427573,2.3542785587487446e-16,,,0,2.639394651695761,no_identifiable_set
0.002,16,0.01,0.6428571428571428,0.642985970091257,2.2990184105597977e-16,,,0,2.639394651695761,no_identifiable_set
0.002,16,0.01,1.0357142857142856,1.0360986795282388,6.3759561932931e-16,,,0,2.639394651695761,no_identifiable_set
0.002,16,0.01,1.4285714285714286,1.4292113889652203,3.961696533773191e-16,,,0,2.639394651695761,no_identifiable_set
0.002,16,0.01,1.8214285714285714,1.8207325489712827,7.998133704419733e-16,0.9877485203441193,0.2889946685553053,11,2.639394651695761,ok
0.002,16,0.01,2.2142857142857144,2.213845258408264,3.2636911725023685e-16,0.799950061859004,0.27283784492860436,11,2.639394651695761,ok
0.002,16,0.01,2.607142857142857,2.6069579678452457,1.367460059274547e-15,0.5956866022816618,0.2930517524783138,11,2.639394651695761,ok
0.002,16,0.01,3.0,3.000070677282227,9.472559185120372e-16,0.5099069821204119,0.3038478847673007,15,2.639394651695761,ok
0.005,16,0.001,0.25,0.24987326065427573,2.2957338195812507e-16,,,0,1.6108048661735614,no_identifiable_set
0.005,16,0.001,0.6428571428571428,0.642985970091257,2.3150660513688276e-16,,,0,1.6108048661735614,no_identifiable_set
0.005,16,0.001,1.0357142857142856,1.0360986795282388,3.510359693599121e-16,,,0,1.6108048661735614,no_identifiable_set
0.005,16,0.001,1.4285714285714286,1.4292113889652203,3.121469769365486e-16,,,0,1.6108048661735614,no_identifiable_set
0.005,16,0.001,1.8214285714285714,1.8207325489712827,3.2280317316034137e-16,,,0,1.6108048661735614,no_identifiable_set
0.005,16,0.001,2.2142857142857144,2.213845258408264,4.867237659039528e-16,1.8457350499706329,0.0,1,1.6108048661735614,ok
0.005,16,0.001,2.607142857142857,2.6069579678452457,3.5575635651264557e-16,1.0345120339940022,0.3051102690758609,8,1.6108048661735614,ok
0.005,16,0.001,3.0,3.000070677282227,4.0796086381954373e-16,0.6368157238417025,0.27009010613757145,10,1.6108048661735614,ok
0.005,16,0.01,0.25,0.24987326065427573,2.2957338195812507e-16,,,0,1.6106627534316431,no_identifiable_set
0.005,16,0.01,0.6428571428571428,0.642985970091257,2.3150660513688276e-16,,,0,1.6106627534316431,no_identifiable_set
0.005,16,0.01,1.0357142857142856,1.0360986795282388,3.510359693599121e-16,,,0,1.6106627534316431,no_identifiable_set
0.005,16,0.01,1.4285714285714286,1.4292113889652203,3.121469769365486e-16,,,0,1.6106627534316431,no_identifiable_set
0.005,16,0.01,1.8214285714285714,1.8207325489712827,3.2280317316034137e-16,,,0,1.6106627534316431,no_identifiable_set
0.005,16,0.01,2.2142857142857144,2.213845258408264,4.867237659039528e-16,1.5594396378345814,0.0,1,1.6106627534316431,ok
0.005,16,0.01,2.607142857142857,2.6069579678452457,3.5575635651264557e-16,0.9241079957055227,0.30593981127130726,6,1.6106627534316431,ok
0.005,16,0.01,3.0,3.000070677282227,4.0796086381954373e-16,0.6825788946886364,0.27705776781632696,11,1.6106627534316431,ok
0.01,16,0.001,0.25,0.24987326065427573,2.0362240899836258e-16,,,0,1.4618101021699121,no_identifiable_set
0.01,16,0.001,0.6428571428571428,0.642985970091257,1.8755500022383075e-16,,,0,1.4618101021699121,no_identifiable_set
0.01,16,0.001,1.0357142857142856,1.0360986795282388,2.7483123438677655e-16,,,0,1.4618101021699121,no_identifiable_set
