nu,kobs_frac,eps_rel,tau_req,tau,rmse_fwd,rmse_bwd_best,spread,accepted_count,threshold,status
0.01,16,0.001,1.4285714285714286,1.4292113889652203,2.1248295884547471e-16,,,0,1.4618101021699121,no_identifiable_set
0.01,16,0.001,1.8214285714285714,1.8207325489712827,2.6874105242348455e-16,,,0,1.4618101021699121,no_identifiable_set
0.01,16,0.001,2.2142857142857144,2.213845258408264,2.6983628475475773e-16,1.479462173658902,0.0,1,1.4618101021699121,ok
0.01,16,0.001,2.607142857142857,2.6069579678452457,2.380414905826446e-16,1.1709297728993018,0.29874790997765965,8,1.4618101021699121,ok
0.01,16,0.001,3.0,3.000070677282227,4.275072923275557e-16,0.7184376870854075,0.29635051030178094,16,1.4618101021699121,ok
0.01,16,0.01,0.25,0.24987326065427573,2.0362240899836258e-16,,,0,1.4605653748727636,no_identifiable_set
0.01,16,0.01,0.6428571428571428,0.642985970091257,1.8755500022383075e-16,,,0,1.4605653748727636,no_identifiable_set
0.01,16,0.01,1.0357142857142856,1.0360986795282388,2.7483123438677655e-16,,,0,1.4605653748727636,no_identifiable_set
0.01,16,0.01,1.4285714285714286,1.4292113889652203,2.1248295884547471e-16,,,0,1.4605653748727636,no_identifiable_set
0.01,16,0.01,1.8214285714285714,1.8207325489712827,2.6874105242348455e-16,,,0,1.4605653748727636,no_identifiable_set
0.01,16,0.01,2.2142857142857144,2.213845258408264,2.6983628475475773e-16,,,0,1.4605653748727636,no_identifiable_set
0.01,16,0.01,2.607142857142857,2.6069579678452457,2.380414905826446e-16,1.4306499839828175,0.0,1,1.4605653748727636,ok
0.01,16,0.01,3.0,3.000070677282227,4.275072923275557e-16,0.6234937132709027,0.26497457182616724,8,1.4605653748727636,ok
