cell_id,theta_skew_deg,z,regime
3804,89.761,1.894,low
3805,81.425,2.088,low
3806,81.425,2.088,low
3807,79.806,2.130,low
3808,88.745,1.916,low
3809,88.919,1.912,low
3810,78.723,2.159,low
3811,88.846,1.913,low
3812,89.813,1.893,low
3813,89.813,1.893,low
3814,84.351,2.015,low
3815,79.449,2.140,low
3816,83.786,2.029,low
3817,86.483,1.966,low
3818,84.517,2.011,low
3819,87.789,1.936,low
3820,76.931,2.210,low
3821,76.931,2.210,low
3822,73.656,2.308,low
3823,76.125,2.233,low
3824,81.434,2.088,low
3825,81.434,2.088,low
3826,82.754,2.054,low
3827,74.611,2.278,low
3828,89.562,1.898,low
3829,88.335,1.924,low
3830,80.499,2.112,low
3831,88.886,1.913,low
3832,78.702,2.160,low
3833,72.329,2.350,low
3834,87.927,1.933,low
3835,87.927,1.933,low
3836,78.153,2.175,low
3837,85.393,1.991,low
3838,85.393,1.991,low
3839,65.835,2.582,low
3840,74.133,2.293,low
3841,87.448,1.944,low
3842,80.312,2.117,low
3843,60.930,2.790,low
3844,82.201,2.068,low
3845,65.486,2.596,low
3846,86.889,1.957,low
3847,89.160,1.907,low
3848,76.194,2.231,low
3849,82.971,2.049,low
3850,82.971,2.049,low
3851,86.766,1.959,low
3852,83.334,2.040,low
3853,59.165,2.873,low
3854,81.453,2.087,low
3855,59.165,2.873,low
3856,86.382,1.968,low
3857,89.359,1.902,low
3858,72.321,2.351,low
3859,89.359,1.902,low
3860,86.382,1.968,low
3861,77.995,2.180,low
3862,76.569,2.220,low
3863,83.862,2.027,low
3864,85.611,1.986,low
3865,79.301,2.144,low
3866,66.383,2.561,low
3867,85.611,1.986,low
3868,89.755,1.894,low
3869,79.301,2.144,low
3870,89.755,1.894,low
3871,69.027,2.463,low
3872,83.084,2.046,low
3873,77.165,2.203,low
3874,77.801,2.185,low
3875,80.628,2.108,low
3876,87.021,1.954,low
3877,82.612,2.058,low
3878,84.877,2.003,low
3879,83.084,2.046,low
3880,84.877,2.003,low
3881,87.021,1.954,low
3882,83.083,2.046,low
3883,86.480,1.966,low
3884,88.033,1.931,low
3885,88.033,1.931,low
3886,78.645,2.162,low
3887,73.640,2.309,low
3888,82.280,2.066,low
3889,73.781,2.304,low
3890,80.189,2.120,low
3891,67.932,2.502,low
3892,81.178,2.094,low
3893,87.631,1.940,low
3894,85.745,1.983,low
3895,87.274,1.948,low
3896,85.745,1.983,low
3897,87.274,1.948,low
3898,89.232,1.905,low
3899,79.063,2.150,low
3900,85.265,1.994,low
3901,85.438,1.990,low
3902,85.265,1.994,low
3903,81.990,2.073,low
3904,77.893,2.182,low
3905,79.063,2.150,low
3906,77.893,2.182,low
3907,80.761,2.105,low
3908,89.349,1.903,low
3909,81.839,2.077,low
3910,84.680,2.008,low
3911,84.680,2.008,low
3912,81.839,2.077,low
3913,56.530,3.007,trans
3914,56.530,3.007,trans
3915,68.555,2.480,low
3916,85.953,1.978,low
3917,80.752,2.105,low
3918,60.067,2.830,low
3919,63.547,2.675,low
3920,60.067,2.830,low
3921,66.302,2.564,low
3922,74.586,2.279,low
3923,88.167,1.928,low
3924,83.953,2.025,low
3925,88.076,1.930,low
3926,83.953,2.025,low
3927,88.167,1.928,low
3928,86.261,1.971,low
3929,84.062,2.022,low
3930,74.186,2.292,low
3931,87.335,1.947,low
3932,89.200,1.906,low
3933,89.219,1.905,low
3934,41.227,4.123,trans
3935,87.470,1.944,low
3936,85.916,1.979,low
3937,85.784,1.982,low
3938,86.059,1.975,low
3939,87.003,1.954,low
3940,87.003,1.954,low
3941,84.914,2.002,low
3942,84.914,2.002,low
3943,87.427,1.944,low
3944,79.843,2.129,low
3945,77.934,2.181,low
3946,84.768,2.005,low
3947,80.975,2.099,low
3948,85.027,1.999,low
3949,75.266,2.259,low
3950,86.334,1.969,low
3951,70.604,2.408,low
3952,79.654,2.134,low
3953,75.826,2.242,low
3954,87.954,1.933,low
3955,82.377,2.064,low
3956,78.050,2.178,low
3957,69.644,2.441,low
3958,71.713,2.371,low
3959,79.999,2.125,low
3960,70.300,2.418,low
3961,88.227,1.927,low
3962,89.398,1.902,low
3963,89.398,1.902,low
3964,85.525,1.988,low
3965,65.820,2.583,low
3966,65.820,2.583,low
3967,89.668,1.896,low
3968,85.685,1.984,low
3969,80.108,2.122,low
3970,84.084,2.022,low
3971,89.566,1.898,low
3972,65.005,2.615,low
3973,84.979,2.001,low
3974,83.706,2.031,low
3975,89.523,1.899,low
3976,89.523,1.899,low
3977,83.706,2.031,low
3978,59.244,2.870,low
3979,66.715,2.548,low
3980,79.648,2.134,low
3981,56.331,3.018,trans
3982,73.538,2.312,low
3983,70.561,2.409,low
3984,86.485,1.966,low
3985,81.383,2.089,low
3986,87.992,1.932,low
3987,87.992,1.932,low
3988,79.950,2.126,low
3989,84.989,2.000,low
3990,86.193,1.972,low
3991,87.242,1.949,low
3992,86.193,1.972,low
3993,87.834,1.935,low
3994,73.779,2.304,low
3995,87.267,1.948,low
3996,81.367,2.089,low
3997,77.948,2.181,low
3998,80.504,2.112,low
3999,71.972,2.362,low
4000,80.573,2.110,low
4001,83.401,2.038,low
4002,84.357,2.015,low
4003,83.010,2.048,low
4004,81.173,2.094,low
4005,86.480,1.966,low
4006,84.095,2.022,low
4007,84.357,2.015,low
4008,81.173,2.094,low
4009,86.979,1.955,low
4010,75.381,2.255,low
4011,86.356,1.969,low
4012,76.322,2.227,low
4013,84.801,2.005,low
4014,80.211,2.119,low
4015,84.817,2.004,low
4016,84.817,2.004,low
4017,79.441,2.140,low
4018,58.662,2.898,low
4019,80.610,2.109,low
4020,79.823,2.130,low
4021,88.091,1.930,low
4022,62.483,2.721,low
4023,87.681,1.939,low
4024,81.190,2.094,low
4025,81.042,2.098,low
4026,88.373,1.924,low
4027,78.227,2.173,low
4028,81.190,2.094,low
4029,87.172,1.950,low
4030,87.172,1.950,low
4031,70.029,2.428,low
4032,82.844,2.052,low
4033,75.115,2.263,low
4034,89.849,1.892,low
4035,89.849,1.892,low
4036,76.141,2.233,low
4037,76.753,2.215,low
4038,76.811,2.213,low
4039,88.292,1.925,low
4040,82.770,2.054,low
4041,68.662,2.476,low
4042,85.517,1.988,low
4043,85.517,1.988,low
4044,86.356,1.969,low
4045,85.016,2.000,low
4046,61.581,2.761,low
4047,88.127,1.929,low
4048,89.705,1.895,low
4049,81.497,2.086,low
4050,89.851,1.892,low
4051,82.667,2.056,low
4052,82.667,2.056,low
4053,78.811,2.157,low
4054,89.851,1.892,low
4055,80.402,2.114,low
4056,84.940,2.001,low
4057,73.155,2.324,low
4058,85.157,1.996,low
4059,85.589,1.986,low
4060,85.838,1.980,low
4061,86.138,1.974,low
4062,76.054,2.235,low
4063,89.733,1.895,low
4064,89.215,1.906,low
4065,89.215,1.906,low
4066,89.133,1.907,low
4067,65.711,2.587,low
4068,87.063,1.953,low
4069,86.607,1.963,low
4070,86.607,1.963,low
4071,82.514,2.060,low
4072,82.603,2.058,low
4073,82.923,2.050,low
4074,82.923,2.050,low
4075,79.909,2.127,low
4076,88.235,1.927,low
4077,82.500,2.061,low
4078,89.076,1.908,low
4079,79.794,2.130,low
4080,72.998,2.329,low
4081,87.718,1.938,low
4082,82.209,2.068,low
4083,87.198,1.950,low
4084,69.559,2.444,low
4085,80.894,2.102,low
4086,79.294,2.144,low
4087,82.198,2.068,low
4088,85.648,1.985,low
4089,76.729,2.216,low
4090,86.091,1.975,low
4091,76.914,2.210,low
4092,72.297,2.351,low
4093,87.004,1.954,low
4094,89.507,1.899,low
4095,89.507,1.899,low
4096,75.204,2.261,low
4097,88.344,1.924,low
4098,89.234,1.905,low
4099,80.735,2.106,low
4100,81.744,2.080,low
4101,80.735,2.106,low
4102,65.586,2.592,low
4103,85.056,1.999,low
4104,85.056,1.999,low
4105,80.987,2.099,low
4106,68.060,2.498,low
4107,69.612,2.442,low
4108,86.239,1.971,low
4109,81.055,2.097,low
4110,73.334,2.318,low
4111,83.943,2.025,low
4112,74.228,2.290,low
4113,81.585,2.084,low
4114,75.394,2.255,low
4115,74.942,2.268,low
4116,86.440,1.967,low
4117,85.789,1.982,low
4118,86.665,1.962,low
4119,83.266,2.042,low
4120,78.778,2.158,low
4121,82.847,2.052,low
4122,88.204,1.927,low
4123,88.204,1.927,low
4124,84.439,2.013,low
4125,64.497,2.636,low
4126,82.474,2.061,low
4127,89.803,1.893,low
4128,88.157,1.928,low
4129,74.247,2.290,low
4130,85.047,1.999,low
4131,72.094,2.358,low
4132,85.047,1.999,low
4133,72.479,2.346,low
4134,80.108,2.122,low
4135,72.739,2.337,low
4136,82.975,2.049,low
4137,89.773,1.894,low
4138,89.773,1.894,low
4139,81.075,2.097,low
4140,86.189,1.972,low
4141,86.606,1.963,low
4142,81.317,2.091,low
4143,85.141,1.997,low
4144,86.189,1.972,low
4145,87.282,1.948,low
4146,87.282,1.948,low
4147,70.261,2.420,low
4148,56.808,2.993,low
4149,89.832,1.892,low
4150,79.196,2.147,low
4151,80.809,2.104,low
4152,80.809,2.104,low
4153,70.819,2.400,low
4154,76.066,2.235,low
4155,83.316,2.040,low
4156,59.793,2.843,low
4157,66.453,2.558,low
4158,48.252,3.523,trans
4159,53.049,3.205,trans
4160,87.909,1.934,low
4161,87.909,1.934,low
4162,81.625,2.083,low
4163,81.625,2.083,low
4164,60.189,2.824,low
4165,83.316,2.040,low
4166,62.700,2.711,low
4167,89.172,1.906,low
4168,89.172,1.906,low
4169,82.401,2.063,low
4170,78.435,2.167,low
4171,71.877,2.365,low
4172,80.476,2.112,low
4173,81.214,2.093,low
4174,82.618,2.058,low
4175,22.336,7.611,high
4176,25.389,6.696,high
4177,25.239,6.736,high
4178,89.274,1.904,low
4179,45.817,3.710,trans
4180,84.428,2.014,low
4181,70.321,2.417,low
4182,65.505,2.595,low
4183,65.316,2.603,low
4184,89.310,1.903,low
4185,89.310,1.903,low
4186,76.658,2.218,low
4187,83.959,2.025,low
4188,85.167,1.996,low
4189,85.167,1.996,low
4190,83.679,2.032,low
4191,82.422,2.063,low
4192,87.245,1.949,low
4193,87.245,1.949,low
4194,89.999,1.889,low
4195,66.354,2.562,low
4196,67.848,2.506,low
4197,69.513,2.446,low
4198,86.038,1.976,low
4199,86.038,1.976,low
4200,82.128,2.070,low
4201,68.313,2.489,low
4202,74.194,2.291,low
4203,80.696,2.107,low
4204,73.141,2.324,low
4205,79.504,2.138,low
4206,79.504,2.138,low
4207,20.539,8.277,high
4208,83.121,2.045,low
4209,74.974,2.267,low
4210,66.220,2.567,low
4211,74.974,2.267,low
4212,82.449,2.062,low
4213,87.696,1.939,low
4214,71.108,2.391,low
4215,79.282,2.144,low
4216,87.706,1.938,low
4217,84.224,2.018,low
4218,87.706,1.938,low
4219,78.540,2.165,low
4220,81.737,2.080,low
4221,81.322,2.090,low
4222,79.584,2.136,low
4223,82.734,2.055,low
4224,87.483,1.943,low
4225,82.734,2.055,low
4226,87.483,1.943,low
4227,88.864,1.913,low
4228,88.297,1.925,low
4229,88.924,1.912,low
4230,88.924,1.912,low
4231,89.814,1.893,low
4232,84.025,2.023,low
4233,81.354,2.090,low
4234,82.979,2.049,low
4235,67.789,2.508,low
4236,82.979,2.049,low
4237,82.719,2.055,low
4238,82.071,2.071,low
4239,82.657,2.057,low
4240,83.977,2.024,low
4241,83.897,2.026,low
4242,83.977,2.024,low
4243,88.992,1.910,low
4244,72.712,2.338,low
4245,83.164,2.044,low
4246,87.092,1.952,low
4247,83.164,2.044,low
4248,81.995,2.073,low
4249,89.217,1.905,low
4250,79.545,2.137,low
4251,88.100,1.930,low
4252,86.505,1.965,low
4253,83.218,2.043,low
4254,82.880,2.051,low
4255,82.880,2.051,low
4256,89.395,1.902,low
4257,83.558,2.035,low
4258,83.266,2.042,low
4259,71.118,2.390,low
4260,69.802,2.435,low
4261,87.051,1.953,low
4262,37.878,4.488,trans
4263,71.716,2.370,low
4264,67.025,2.536,low
4265,77.218,2.202,low
4266,68.132,2.495,low
4267,81.783,2.079,low
4268,86.224,1.972,low
4269,63.724,2.668,low
4270,70.677,2.405,low
4271,83.968,2.025,low
4272,69.807,2.435,low
4273,84.106,2.021,low
4274,86.332,1.969,low
4275,84.106,2.021,low
4276,84.624,2.009,low
4277,89.885,1.891,low
4278,89.885,1.891,low
4279,80.749,2.105,low
4280,83.285,2.041,low
4281,44.370,3.831,trans
4282,74.741,2.275,low
4283,56.793,2.993,low
4284,88.902,1.912,low
4285,82.237,2.067,low
4286,76.665,2.217,low
4287,75.443,2.253,low
4288,87.034,1.953,low
4289,84.368,2.015,low
4290,83.255,2.042,low
4291,81.145,2.095,low
4292,87.026,1.953,low
4293,84.724,2.007,low
4294,88.100,1.930,low
4295,84.603,2.009,low
4296,87.896,1.934,low
4297,84.953,2.001,low
4298,84.332,2.016,low
4299,73.066,2.327,low
4300,66.795,2.545,low
4301,88.523,1.920,low
4302,86.483,1.966,low
4303,66.347,2.562,low
4304,86.636,1.962,low
4305,67.629,2.514,low
4306,82.899,2.051,low
4307,86.483,1.966,low
4308,87.807,1.936,low
4309,83.334,2.040,low
4310,80.538,2.111,low
4311,83.953,2.025,low
4312,84.662,2.008,low
4313,84.417,2.014,low
4314,81.099,2.096,low
4315,87.243,1.949,low
4316,87.243,1.949,low
4317,70.066,2.426,low
4318,73.816,2.303,low
4319,88.078,1.930,low
4320,76.203,2.231,low
4321,79.036,2.151,low
4322,74.653,2.277,low
4323,84.025,2.023,low
4324,84.025,2.023,low
4325,68.174,2.494,low
4326,76.595,2.219,low
4327,87.896,1.934,low
4328,63.353,2.683,low
4329,84.790,2.005,low
4330,73.574,2.311,low
4331,80.343,2.116,low
4332,79.061,2.150,low
