nu,kobs_frac,eps_rel,tau_req,tau,rmse_fwd,rmse_bwd_best,spread,accepted_count,threshold,status
0.01,16,0.0,0.25,0.24922924881643865,1.7489503143557852e-16,,,0,1.436140661634507e-11,no_identifiable_set
0.01,16,0.0,1.1666666666666665,1.1660368426769099,3.3104481337419246e-16,,,0,1.436140661634507e-11,no_identifiable_set
0.01,16,0.0,2.083333333333333,2.082844436537381,4.3733139003997986e-16,,,0,1.436140661634507e-11,no_identifiable_set
0.01,16,0.0,3.0,2.9996520303978524,7.897557904288165e-16,,,0,1.436140661634507e-11,no_identifiable_set
