cell_id,theta_skew_deg,z,regime
0,56.804,2.993,low
1,73.941,2.299,low
2,73.941,2.299,low
3,80.297,2.117,low
4,84.271,2.017,low
5,88.574,1.919,low
6,83.763,2.030,low
7,85.105,1.998,low
8,84.955,2.001,low
9,86.387,1.968,low
10,87.529,1.942,low
11,44.326,3.835,trans
12,77.606,2.191,low
13,84.434,2.013,low
14,83.008,2.048,low
15,79.735,2.132,low
16,66.691,2.549,low
17,83.188,2.044,low
18,82.760,2.054,low
19,82.760,2.054,low
20,78.945,2.153,low
21,79.993,2.125,low
22,58.971,2.883,low
23,65.567,2.593,low
24,68.874,2.468,low
25,63.135,2.693,low
26,71.062,2.392,low
27,69.006,2.464,low
28,72.711,2.338,low
29,89.474,1.900,low
30,86.682,1.961,low
31,60.739,2.799,low
32,61.364,2.770,low
33,68.399,2.485,low
34,79.314,2.143,low
35,86.716,1.960,low
36,88.509,1.921,low
37,86.716,1.960,low
38,83.763,2.030,low
39,85.930,1.978,low
40,89.774,1.894,low
41,72.313,2.351,low
42,72.313,2.351,low
43,83.259,2.042,low
44,89.756,1.894,low
45,86.951,1.955,low
46,71.705,2.371,low
47,53.704,3.165,trans
48,80.991,2.099,low
49,85.565,1.987,low
50,79.540,2.137,low
51,89.825,1.893,low
52,86.801,1.958,low
53,85.565,1.987,low
54,89.851,1.892,low
55,77.999,2.180,low
56,73.274,2.320,low
57,81.951,2.074,low
58,74.705,2.276,low
59,85.128,1.997,low
60,87.123,1.951,low
61,89.518,1.899,low
62,86.232,1.971,low
63,83.069,2.047,low
64,74.900,2.270,low
65,87.712,1.938,low
66,83.048,2.047,low
67,87.845,1.935,low
68,80.009,2.125,low
69,82.430,2.062,low
70,86.660,1.962,low
71,86.734,1.960,low
72,89.604,1.897,low
73,75.124,2.263,low
74,83.933,2.025,low
75,86.493,1.965,low
76,86.478,1.966,low
77,60.324,2.818,low
78,71.440,2.380,low
79,86.493,1.965,low
80,81.868,2.077,low
81,9.962,17.064,high
82,87.529,1.942,low
83,70.447,2.413,low
84,71.321,2.384,low
85,60.896,2.792,low
86,85.984,1.977,low
87,85.158,1.996,low
88,85.571,1.987,low
89,85.571,1.987,low
90,89.933,1.890,low
91,75.484,2.252,low
92,88.227,1.927,low
93,88.638,1.918,low
94,76.164,2.232,low
95,84.434,2.013,low
96,88.638,1.918,low
97,76.468,2.223,low
98,88.511,1.921,low
99,67.982,2.501,low
100,70.702,2.404,low
101,79.260,2.145,low
102,83.188,2.044,low
103,82.374,2.064,low
104,67.920,2.503,low
105,84.271,2.017,low
106,86.358,1.969,low
107,60.247,2.822,low
108,89.447,1.901,low
109,87.284,1.948,low
110,87.284,1.948,low
111,88.108,1.929,low
112,88.837,1.914,low
113,84.592,2.010,low
114,85.848,1.980,low
115,86.143,1.973,low
116,85.059,1.999,low
