exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.001,0.02,0.49974652130855146,1.8519679968417358e-14,1.2838596238770832,1283859623877.0833,0.0597667638483965,348.16754436936884,1372,0.119239336755498,Inconclusive
exp1,0.001,0.02,1.9997818599496653,7.479533007506556e-14,71116158.96510676,7.111615896510675e+19,0.0597667638483965,440.65496672457334,1372,0.6038968741493539,Inconclusive
exp1,0.001,0.02,3.4998171985907787,1.308191844595783e-13,8755827175904182.0,8.755827175904183e+27,0.05903790087463557,619.4821002551591,1372,1.4869355425468749,Inconclusive
exp1,0.001,0.02,4.9998525372318925,1.869585780575931e-13,1.24726360615143e+24,1.24726360615143e+36,0.0,1044.539258550384,1372,3.8065176837474173,Inconclusive
