mesh_type,mesh_name,mesh_folder,theta_target,scheme,alpha,l2_error,cmax,time_ms,throughput_cells_per_s,n_cells,z_mean,z_min,z_max,regime_high_pct,regime_trans_pct,regime_low_pct
controlled,skew_10deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_10deg,10.0,gg,nan,0.8834831117404446,184.7409517271714,1.5609590000167373,10832443.388851786,16909,6.3074938597457475,1.8939372252770228,170.34679714771963,38.695369329942636,59.89709622094742,1.4075344491099415
controlled,skew_10deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_10deg,10.0,wlsq,nan,0.043142993418171835,26.731476617739133,2.650625000569562,6379250.175474321,16909,6.3074938597457475,1.8939372252770228,170.34679714771963,38.695369329942636,59.89709622094742,1.4075344491099415
controlled,skew_10deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_10deg,10.0,glsq,0.0,0.043142993418171835,26.731476617739133,3.291166000053636,5137692.84190601,16909,6.3074938597457475,1.8939372252770228,170.34679714771963,38.695369329942636,59.89709622094742,1.4075344491099415
controlled,skew_10deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_10deg,10.0,glsq,0.5,0.441973654272594,92.65034779099021,3.4228750000693253,4939999.2695197845,16909,6.3074938597457475,1.8939372252770228,170.34679714771963,38.695369329942636,59.89709622094742,1.4075344491099415
controlled,skew_10deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_10deg,10.0,glsq,1.0,0.8834831117404446,184.7409517271714,3.2647500001985463,5179263.342973176,16909,6.3074938597457475,1.8939372252770228,170.34679714771963,38.695369329942636,59.89709622094742,1.4075344491099415
controlled,skew_30deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_30deg,30.0,gg,nan,2.153618270976065,32940.42752447679,1.4741670001967577,10167776.105420493,14989,7.6567846763348015,1.9296516637251053,340.0,43.05157115217826,50.910667823070256,6.037761024751485
controlled,skew_30deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_30deg,30.0,wlsq,nan,0.3893368063312197,56.980259389577206,1.8052920004265616,8302811.953112482,14989,7.6567846763348015,1.9296516637251053,340.0,43.05157115217826,50.910667823070256,6.037761024751485
controlled,skew_30deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_30deg,30.0,glsq,0.0,0.3893368063312197,56.980259389577206,2.915957999903185,5140334.668914183,14989,7.6567846763348015,1.9296516637251053,340.0,43.05157115217826,50.910667823070256,6.037761024751485
controlled,skew_30deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_30deg,30.0,glsq,0.5,1.113918699792286,16469.842410431185,2.85375000021304,5252387.209419547,14989,7.6567846763348015,1.9296516637251053,340.0,43.05157115217826,50.910667823070256,6.037761024751485
controlled,skew_30deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_30deg,30.0,glsq,1.0,2.153618270976065,32940.42752447679,2.9242079999676207,5125832.362186948,14989,7.6567846763348015,1.9296516637251053,340.0,43.05157115217826,50.910667823070256,6.037761024751485
controlled,skew_50deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_50deg,50.0,gg,nan,3.779751044776343,115853.39588219397,0.7944580002003931,11862175.215836333,9424,13.968182629894272,1.9794046007238155,340.0,52.54668930390493,40.492359932088284,6.960950764006792
controlled,skew_50deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_50deg,50.0,wlsq,nan,0.267183395548046,343.831383088042,0.8749999997235136,10770285.717688957,9424,13.968182629894272,1.9794046007238155,340.0,52.54668930390493,40.492359932088284,6.960950764006792
controlled,skew_50deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_50deg,50.0,glsq,0.0,0.267183395548046,343.831383088042,1.6777079999883426,5617187.257893198,9424,13.968182629894272,1.9794046007238155,340.0,52.54668930390493,40.492359932088284,6.960950764006792
controlled,skew_50deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_50deg,50.0,glsq,0.5,1.8980336099271122,57926.32034387634,1.654457999393344,5696125.258819256,9424,13.968182629894272,1.9794046007238155,340.0,52.54668930390493,40.492359932088284,6.960950764006792
controlled,skew_50deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_50deg,50.0,glsq,1.0,3.779751044776343,115853.39588219397,1.6542080002182047,5696986.109822278,9424,13.968182629894272,1.9794046007238155,340.0,52.54668930390493,40.492359932088284,6.960950764006792
controlled,skew_60deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_60deg,60.0,gg,nan,3.576430814270019,178230.11043293684,0.6399170006261556,11570250.505542472,7404,15.58940889184502,1.9311289272585284,340.0,52.94435440302539,36.426256077795784,10.629389519178822
controlled,skew_60deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_60deg,60.0,wlsq,nan,0.2933131453583667,452.1137595259006,0.6797089999963646,10892896.813253319,7404,15.58940889184502,1.9311289272585284,340.0,52.94435440302539,36.426256077795784,10.629389519178822
controlled,skew_60deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_60deg,60.0,glsq,0.0,0.2933131453583667,452.1137595259006,1.3100830001349095,5651550.321038859,7404,15.58940889184502,1.9311289272585284,340.0,52.94435440302539,36.426256077795784,10.629389519178822
controlled,skew_60deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_60deg,60.0,glsq,0.5,1.7995770960729844,89116.83793052883,1.360000000204309,5444117.646240969,7404,15.58940889184502,1.9311289272585284,340.0,52.94435440302539,36.426256077795784,10.629389519178822
controlled,skew_60deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_60deg,60.0,glsq,1.0,3.576430814270019,178230.11043293684,1.4042079992577783,5272723.132123966,7404,15.58940889184502,1.9311289272585284,340.0,52.94435440302539,36.426256077795784,10.629389519178822
controlled,skew_70deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_70deg,70.0,gg,nan,3.555300941933639,190701.72065218474,0.48158300069189863,11451816.18137788,5515,17.322749676869815,1.9772526651285776,340.0,56.35539437896645,37.75158658204896,5.893019038984588
controlled,skew_70deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_70deg,70.0,wlsq,nan,0.34098824908955294,791.5307327196153,0.6826250000813161,8079106.389808516,5515,17.322749676869815,1.9772526651285776,340.0,56.35539437896645,37.75158658204896,5.893019038984588
controlled,skew_70deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_70deg,70.0,glsq,0.0,0.34098824908955294,791.5307327196153,1.045209000039904,5276456.670186966,5515,17.322749676869815,1.9772526651285776,340.0,56.35539437896645,37.75158658204896,5.893019038984588
controlled,skew_70deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_70deg,70.0,glsq,0.5,1.7940790389448158,95350.51767282655,0.9872079999695416,5586462.022360186,5515,17.322749676869815,1.9772526651285776,340.0,56.35539437896645,37.75158658204896,5.893019038984588
controlled,skew_70deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_70deg,70.0,glsq,1.0,3.555300941933639,190701.72065218474,0.9660839996286086,5708613.331884319,5515,17.322749676869815,1.9772526651285776,340.0,56.35539437896645,37.75158658204896,5.893019038984588
controlled,skew_80deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_80deg,80.0,gg,nan,5.234306653599961,255938.72310187912,0.368457999684324,10755635.658325497,3963,15.134943505016947,1.8956009824028879,340.0,54.22659601312137,38.70804945748171,7.065354529396922
controlled,skew_80deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_80deg,80.0,wlsq,nan,0.4626104727107721,392.5984714186963,0.5344170003809268,7415557.508790356,3963,15.134943505016947,1.8956009824028879,340.0,54.22659601312137,38.70804945748171,7.065354529396922
controlled,skew_80deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_80deg,80.0,glsq,0.0,0.4626104727107721,392.5984714186963,0.7923749999463325,5001419.782638793,3963,15.134943505016947,1.8956009824028879,340.0,54.22659601312137,38.70804945748171,7.065354529396922
controlled,skew_80deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_80deg,80.0,glsq,0.5,2.6363452835218646,127970.44159791939,0.6867499996587867,5770658.903486022,3963,15.134943505016947,1.8956009824028879,340.0,54.22659601312137,38.70804945748171,7.065354529396922
controlled,skew_80deg,/Users/velocityworks/IdeaProjects/research/gradient-z-classifier/setup_1/meshes_v3/skew_80deg,80.0,glsq,1.0,5.234306653599961,255938.72310187912,0.6930830004421296,5717929.883537663,3963,15.134943505016947,1.8956009824028879,340.0,54.22659601312137,38.70804945748171,7.065354529396922
