function,dimension,method,median_best,mean,std,ratio_vs_vanilla,p_value,source_report
Rosenbrock,20,PhaseWall (s=0.4),32.44,82.48,96.41,0.353,0.0120,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,20,PW 0.4 + LR-Adapt,22881.5,27829.8,19250.0,248.89,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,10,Vanilla CMA-ES,22.78,28.30,13.98,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,10,LR-Adapt,59.45,60.40,7.99,2.61,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,10,4x Population,53.26,53.01,6.57,2.34,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,10,PhaseWall (s=0.4),35.78,34.57,12.85,1.57,0.8058,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,10,PW 0.4 + LR-Adapt,61.49,58.40,9.76,2.70,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,20,Vanilla CMA-ES,144.3,142.2,11.07,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,20,LR-Adapt,203.4,211.2,36.71,1.41,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,20,4x Population,160.3,157.7,10.75,1.11,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,20,PhaseWall (s=0.4),141.8,141.4,12.82,0.982,0.3781,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rastrigin,20,PW 0.4 + LR-Adapt,208.9,209.1,29.64,1.45,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,10,Vanilla CMA-ES,1466.6,2187.1,1930.8,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,10,LR-Adapt,151142,179258,110535,103.05,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,10,4x Population,9596.9,11134.8,7105.4,6.54,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,10,PhaseWall (s=0.4),1788.4,2549.7,2172.6,1.22,0.7021,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,10,PW 0.4 + LR-Adapt,201104,288544,198154,137.12,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,20,Vanilla CMA-ES,63294.2,108820,139725,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,20,LR-Adapt,1926720,1869980,648974,30.44,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,20,4x Population,349398,358296,128351,5.52,0.9999,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,20,PhaseWall (s=0.4),101988,103400,66977.9,1.61,0.8847,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Ellipsoid,20,PW 0.4 + LR-Adapt,1592020,1691010,566363,25.15,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
