function,dimension,method,median_best,mean,std,ratio_vs_vanilla,p_value,source_report
Sphere,10,Vanilla CMA-ES,-0.2133,-0.2190,0.0422,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,10,LR-Adapt,0.4119,0.6829,1.04,-1.93,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,10,4x Population,0.2276,0.1885,0.1481,-1.07,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,10,PhaseWall (s=0.4),-0.1925,-0.1997,0.0493,0.902,0.9836,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,10,PW 0.4 + LR-Adapt,0.1728,0.3700,0.4495,-0.81,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,20,Vanilla CMA-ES,-0.0913,-0.0751,0.0545,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,20,LR-Adapt,32.66,34.27,12.81,-357.71,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,20,4x Population,10.92,12.27,4.12,-119.58,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,20,PhaseWall (s=0.4),-0.0656,-0.0672,0.0537,0.718,0.7625,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Sphere,20,PW 0.4 + LR-Adapt,33.61,39.07,20.03,-368.20,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,10,Vanilla CMA-ES,8.52,27.53,36.02,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,10,LR-Adapt,211.4,325.6,309.7,24.80,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,10,4x Population,54.95,60.89,32.63,6.45,0.9992,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,10,PhaseWall (s=0.4),8.47,34.70,65.66,0.994,0.5364,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,10,PW 0.4 + LR-Adapt,286.1,609.3,778.0,33.56,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,20,Vanilla CMA-ES,91.93,145.5,163.7,,,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,20,LR-Adapt,22165.7,29558.7,22948.5,241.10,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
Rosenbrock,20,4x Population,2420.2,2606.1,1160.0,26.33,1.0000,artifacts/reports/PhaseWall_Benchmark_Report.pdf (v2.1, 2026-02-28)
