function,dimension,vanilla_median,phasewall_median,improvement_factor,ratio_vs_vanilla,p_value
Sphere,10,-0.2133,-0.1925,1.108051948052,0.902484763244,0.9836
Sphere,20,-0.0913,-0.0656,1.391768292683,0.718510405257,0.7625
Rosenbrock,10,8.52,8.47,1.005903187721,0.994131455399,0.5364
Rosenbrock,20,91.93,32.44,2.833847102343,0.352877189166,0.0120
Rastrigin,10,22.78,35.78,0.636668529905,1.570676031607,0.8058
Rastrigin,20,144.3,141.8,1.017630465444,0.982674982675,0.3781
Ellipsoid,10,1466.6,1788.4,0.820062625811,1.219419064503,0.7021
Ellipsoid,20,63294.2,101988,0.620604384830,1.611332475961,0.8847
