exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.0002,0.01,0.4997465213085514,2.029716610142187e-14,222890.21847443646,2.2289021847443648e+17,0.03753303964757709,1005.2726589538137,22700,0.021300687620490373,Inconclusive
exp1,0.0002,0.01,0.7368873865154757,2.99463823574387e-14,2550694740.611709,2.5506947406117093e+21,0.03753303964757709,1024.2542856979567,22700,0.032001393141824264,Inconclusive
exp1,0.0002,0.01,0.9740282517223995,3.9593942858563716e-14,32049742051048.09,3.204974205104809e+25,0.03748898678414097,1043.821095363947,22700,0.043109945485244903,Inconclusive
exp1,0.0002,0.01,1.210373342213864,4.9218749473157574e-14,4.124625765766115e+17,4.124625765766115e+29,4.405286343612335e-05,1063.9241866910709,22700,0.05672637642431475,Inconclusive
exp1,0.0002,0.01,1.4475142074207883,5.892121792659389e-14,5.701406915295769e+21,5.701406915295769e+33,0.0,1084.7265016096367,22700,0.06916991287426422,Inconclusive
exp1,0.0002,0.01,1.6838592979122529,6.856285750192986e-14,7.865256418039346e+25,7.865256418039346e+37,0.0,1106.1259481752254,22700,0.08205112169589691,Inconclusive
exp1,0.0002,0.01,1.9210001631191767,7.822771943504765e-14,1.1472676651894554e+30,1.1472676651894554e+42,0.0,1128.3170588586138,22700,0.09548446053381263,Inconclusive
exp1,0.0002,0.01,2.158141028326101,8.788965829441734e-14,1.7057984538160928e+34,1.705798453816093e+46,0.0,1151.2945213681357,22700,0.10945620890976365,Inconclusive
exp1,0.0002,0.01,2.3944861188175652,9.755647468157399e-14,2.4947013207724018e+38,2.494701320772402e+50,0.0,1175.058515733186,22700,0.12394983721240023,Inconclusive
exp1,0.0002,0.01,2.6316269840244892,1.0709143454684971e-13,3.818734288343542e+42,3.818734288343542e+54,0.0,1199.8659166343286,22700,0.13910130059146159,Inconclusive
exp1,0.0002,0.01,2.8687678492314133,1.1666408976394713e-13,5.913150917336739e+46,5.913150917336738e+58,0.0,1225.7477022297214,22700,0.15490685460026013,Inconclusive
exp1,0.0002,0.01,3.105112939722878,1.2630401737891908e-13,8.954233668103525e+50,8.954233668103526e+62,0.0,1252.7283732695678,22700,0.1713596071276355,Inconclusive
exp1,0.0002,0.01,3.342253804929802,1.3578204985676664e-13,1.4132690978614533e+55,1.4132690978614534e+67,0.0,1281.1110075377176,22700,0.18862546869957658,Inconclusive
exp1,0.0002,0.01,3.578598895421266,1.4535125516363415e-13,2.17697301055168e+59,2.17697301055168e+71,0.0,1310.8291262854323,22700,0.20664897195643483,Inconclusive
exp1,0.0002,0.01,3.8157397606281904,1.5511211491726256e-13,3.489741305989416e+63,3.4897413059894165e+75,0.0,1342.212894109474,22700,0.2256182866643769,Inconclusive
exp1,0.0002,0.01,4.052880625835114,1.6489329279828425e-13,5.632130847248983e+67,5.632130847248983e+79,0.0,1375.3055826196864,22700,0.2455484295331366,Inconclusive
exp1,0.0002,0.01,4.2892257163265795,1.7445868782325619e-13,8.853333712128488e+71,8.853333712128488e+83,0.0,1410.1435745546833,22700,0.26645040016267113,Inconclusive
exp1,0.0002,0.01,4.5263665815335035,1.8428556378574554e-13,1.4458475422116675e+76,1.4458475422116675e+88,0.0,1447.1372271814882,22700,0.2885583076655218,Inconclusive
exp1,0.0002,0.01,4.7635074467404275,1.938762859403514e-13,2.3734237903887906e+80,2.3734237903887907e+92,0.0,1486.3647901489999,22700,0.31190791834570636,Inconclusive
exp1,0.0002,0.01,4.999852537231892,2.0365665796647896e-13,3.7887918248686388e+84,3.788791824868639e+96,0.0,1527.880807894523,22700,0.33652769753036754,Inconclusive
exp1,0.0002,0.02,0.4997465213085514,2.029716610142187e-14,506785.78833205835,5.067857883320584e+17,0.03885462555066079,1005.2726589538137,22700,0.021271439147924703,Inconclusive
exp1,0.0002,0.02,0.7368873865154757,2.99463823574387e-14,6408658504.563036,6.408658504563036e+21,0.03885462555066079,1024.2542856979567,22700,0.0319574512801319,Inconclusive
exp1,0.0002,0.02,0.9740282517223995,3.9593942858563716e-14,89993758660054.62,8.999375866005463e+25,0.038193832599118946,1043.821095363947,22700,0.0430783761169551,Inconclusive
exp1,0.0002,0.02,1.210373342213864,4.9218749473157574e-14,1.2952119004530673e+18,1.2952119004530673e+30,4.405286343612335e-05,1063.9241866910709,22700,0.05672637642431475,Inconclusive
exp1,0.0002,0.02,1.4475142074207883,5.892121792659389e-14,1.9955889856426524e+22,1.9955889856426525e+34,0.0,1084.7265016096367,22700,0.06916991287426422,Inconclusive
exp1,0.0002,0.02,1.6838592979122529,6.856285750192986e-14,3.0510213107867455e+26,3.0510213107867455e+38,0.0,1106.1259481752254,22700,0.08205112169589691,Inconclusive
exp1,0.0002,0.02,1.9210001631191767,7.822771943504765e-14,4.9055985589966994e+30,4.9055985589966994e+42,0.0,1128.3170588586138,22700,0.09548446053381263,Inconclusive
exp1,0.0002,0.02,2.158141028326101,8.788965829441734e-14,7.994643314026598e+34,7.994643314026598e+46,0.0,1151.2945213681357,22700,0.10945620890976365,Inconclusive
exp1,0.0002,0.02,2.3944861188175652,9.755647468157399e-14,1.2742665323010717e+39,1.2742665323010716e+51,0.0,1175.058515733186,22700,0.12394983721240023,Inconclusive
exp1,0.0002,0.02,2.6316269840244892,1.0709143454684971e-13,2.1154041202375717e+43,2.1154041202375718e+55,0.0,1199.8659166343286,22700,0.13910130059146159,Inconclusive
exp1,0.0002,0.02,2.8687678492314133,1.1666408976394713e-13,3.534380374540552e+47,3.534380374540552e+59,0.0,1225.7477022297214,22700,0.15490685460026013,Inconclusive
exp1,0.0002,0.02,3.105112939722878,1.2630401737891908e-13,5.7446787698487945e+51,5.744678769848795e+63,0.0,1252.7283732695678,22700,0.1713596071276355,Inconclusive
exp1,0.0002,0.02,3.342253804929802,1.3578204985676664e-13,9.68632150256985e+55,9.68632150256985e+67,0.0,1281.1110075377176,22700,0.18862546869957658,Inconclusive
exp1,0.0002,0.02,3.578598895421266,1.4535125516363415e-13,1.5858779062359448e+60,1.585877906235945e+72,0.0,1310.8291262854323,22700,0.20664897195643483,Inconclusive
exp1,0.0002,0.02,3.8157397606281904,1.5511211491726256e-13,2.689620168143215e+64,2.6896201681432147e+76,0.0,1342.212894109474,22700,0.2256182866643769,Inconclusive
exp1,0.0002,0.02,4.052880625835114,1.6489329279828425e-13,4.570934361976991e+68,4.570934361976991e+80,0.0,1375.3055826196864,22700,0.2455484295331366,Inconclusive
exp1,0.0002,0.02,4.2892257163265795,1.7445868782325619e-13,7.530528689085194e+72,7.530528689085194e+84,0.0,1410.1435745546833,22700,0.26645040016267113,Inconclusive
exp1,0.0002,0.02,4.5263665815335035,1.8428556378574554e-13,1.283499757426217e+77,1.283499757426217e+89,0.0,1447.1372271814882,22700,0.2885583076655218,Inconclusive
exp1,0.0002,0.02,4.7635074467404275,1.938762859403514e-13,2.189741701351116e+81,2.189741701351116e+93,0.0,1486.3647901489999,22700,0.31190791834570636,Inconclusive
exp1,0.0002,0.02,4.999852537231892,2.0365665796647896e-13,3.6183388217374965e+85,3.618338821737497e+97,0.0,1527.880807894523,22700,0.33652769753036754,Inconclusive
exp1,0.0002,0.05,0.4997465213085514,2.029716610142187e-14,940680.2823861269,9.40680282386127e+17,0.036916299559471365,1005.2726589538137,22700,0.02131433690768768,Inconclusive
exp1,0.0002,0.05,0.7368873865154757,2.99463823574387e-14,9889669813.530577,9.889669813530576e+21,0.036916299559471365,1024.2542856979567,22700,0.03202189934394736,Inconclusive
exp1,0.0002,0.05,0.9740282517223995,3.9593942858563716e-14,116546755373552.4,1.165467553735524e+26,0.037312775330396473,1043.821095363947,22700,0.04311783782731735,Inconclusive
exp1,0.0002,0.05,1.210373342213864,4.9218749473157574e-14,1.420424302113549e+18,1.420424302113549e+30,0.0,1063.9241866910709,22700,0.056728875493719765,Inconclusive
exp1,0.0002,0.05,1.4475142074207883,5.892121792659389e-14,1.8629955545899442e+22,1.8629955545899443e+34,0.0,1084.7265016096367,22700,0.06916991287426422,Inconclusive
exp1,0.0002,0.05,1.6838592979122529,6.856285750192986e-14,2.435975825112239e+26,2.4359758251122392e+38,0.0,1106.1259481752254,22700,0.08205112169589691,Inconclusive
exp1,0.0002,0.05,1.9210001631191767,7.822771943504765e-14,3.359855141660015e+30,3.359855141660015e+42,0.0,1128.3170588586138,22700,0.09548446053381263,Inconclusive
exp1,0.0002,0.05,2.158141028326101,8.788965829441734e-14,4.714900426519426e+34,4.714900426519426e+46,0.0,1151.2945213681357,22700,0.10945620890976365,Inconclusive
