cell_id,theta_skew_deg,z,regime
0,89.403,1.902,low
1,89.403,1.902,low
2,73.739,2.305,low
3,73.739,2.305,low
4,87.323,1.947,low
5,87.323,1.947,low
6,89.232,1.905,low
7,88.242,1.927,low
8,68.994,2.464,low
9,79.725,2.132,low
10,74.548,2.280,low
11,82.581,2.059,low
12,82.272,2.066,low
13,77.025,2.207,low
14,74.397,2.285,low
15,80.248,2.118,low
16,69.689,2.439,low
17,40.800,4.167,trans
18,75.931,2.239,low
19,78.893,2.155,low
20,82.805,2.053,low
21,85.204,1.995,low
22,50.821,3.345,trans
23,64.884,2.620,low
24,65.390,2.600,low
25,80.358,2.116,low
26,85.993,1.977,low
27,74.548,2.280,low
28,86.346,1.969,low
29,79.164,2.147,low
30,85.324,1.992,low
31,85.324,1.992,low
32,81.298,2.091,low
33,89.571,1.898,low
34,85.433,1.990,low
35,50.101,3.393,trans
36,85.428,1.990,low
37,85.428,1.990,low
38,86.505,1.965,low
39,72.410,2.348,low
40,88.765,1.915,low
41,88.857,1.913,low
42,87.958,1.933,low
43,79.645,2.134,low
44,79.645,2.134,low
45,67.708,2.511,low
46,78.768,2.158,low
47,80.087,2.123,low
48,79.040,2.151,low
49,80.281,2.118,low
50,73.569,2.311,low
51,70.115,2.425,low
52,71.774,2.369,low
53,71.774,2.369,low
54,85.367,1.991,low
55,73.597,2.310,low
56,73.597,2.310,low
57,84.991,2.000,low
58,74.776,2.273,low
59,87.531,1.942,low
60,54.562,3.116,trans
61,66.947,2.539,low
62,88.044,1.931,low
63,88.044,1.931,low
64,88.978,1.911,low
65,88.978,1.911,low
66,89.444,1.901,low
67,83.562,2.034,low
68,82.562,2.059,low
69,89.165,1.907,low
70,82.193,2.068,low
71,84.692,2.007,low
72,84.692,2.007,low
73,83.815,2.028,low
74,87.100,1.952,low
75,60.677,2.802,low
76,89.133,1.907,low
77,81.115,2.096,low
78,81.115,2.096,low
79,68.899,2.467,low
80,85.433,1.990,low
81,78.080,2.177,low
82,83.266,2.042,low
83,83.266,2.042,low
84,89.640,1.896,low
85,89.640,1.896,low
86,62.268,2.730,low
87,70.405,2.415,low
88,62.798,2.707,low
89,64.592,2.632,low
90,64.592,2.632,low
91,82.416,2.063,low
92,86.747,1.960,low
93,53.480,3.179,trans
94,59.958,2.835,low
95,82.456,2.062,low
96,82.456,2.062,low
97,79.530,2.138,low
98,88.039,1.931,low
99,89.051,1.909,low
100,81.887,2.076,low
101,80.170,2.120,low
102,88.301,1.925,low
103,73.948,2.299,low
104,89.788,1.893,low
105,87.435,1.944,low
106,64.637,2.630,low
107,77.025,2.207,low
108,70.601,2.408,low
109,88.765,1.915,low
110,73.188,2.323,low
111,74.649,2.277,low
112,74.649,2.277,low
113,87.958,1.933,low
114,66.066,2.573,low
115,84.188,2.019,low
116,84.188,2.019,low
117,86.873,1.957,low
118,85.470,1.989,low
119,85.489,1.989,low
120,85.489,1.989,low
121,82.384,2.064,low
122,82.384,2.064,low
123,78.253,2.172,low
124,84.514,2.011,low
125,72.048,2.360,low
126,75.021,2.266,low
127,78.253,2.172,low
128,79.015,2.151,low
129,83.130,2.045,low
130,86.747,1.960,low
131,82.416,2.063,low
132,77.893,2.182,low
133,87.217,1.949,low
134,88.391,1.923,low
135,87.980,1.932,low
136,84.398,2.014,low
137,89.539,1.899,low
138,78.860,2.156,low
139,79.530,2.138,low
140,83.898,2.026,low
141,79.188,2.147,low
142,82.786,2.053,low
143,82.786,2.053,low
144,77.984,2.180,low
145,59.978,2.834,low
146,79.186,2.147,low
147,85.039,1.999,low
148,76.436,2.224,low
149,80.296,2.117,low
150,87.700,1.938,low
151,75.270,2.259,low
152,82.450,2.062,low
153,81.864,2.077,low
154,65.778,2.584,low
155,89.538,1.899,low
156,74.079,2.295,low
157,65.743,2.586,low
158,81.672,2.082,low
159,78.259,2.172,low
160,77.755,2.186,low
161,89.007,1.910,low
162,75.297,2.258,low
163,79.567,2.137,low
164,66.843,2.543,low
165,75.949,2.238,low
166,77.417,2.196,low
167,73.457,2.314,low
168,73.457,2.314,low
169,86.842,1.958,low
170,85.224,1.995,low
171,85.224,1.995,low
172,85.962,1.978,low
173,80.752,2.105,low
174,85.962,1.978,low
175,73.190,2.323,low
176,76.076,2.235,low
177,77.495,2.194,low
178,72.196,2.355,low
179,77.902,2.182,low
180,87.530,1.942,low
181,89.343,1.903,low
182,88.165,1.928,low
183,82.947,2.050,low
184,89.343,1.903,low
185,81.735,2.080,low
186,78.034,2.179,low
187,86.734,1.960,low
188,86.734,1.960,low
189,81.735,2.080,low
190,74.099,2.294,low
191,80.940,2.100,low
192,85.410,1.990,low
193,86.179,1.973,low
194,82.644,2.057,low
195,88.287,1.926,low
196,75.163,2.262,low
197,37.190,4.571,trans
198,85.776,1.982,low
199,89.650,1.896,low
200,89.650,1.896,low
201,78.199,2.174,low
202,78.317,2.171,low
203,78.317,2.171,low
204,75.931,2.239,low
205,85.367,1.991,low
206,59.928,2.837,low
207,79.350,2.142,low
208,52.022,3.268,trans
209,89.127,1.907,low
210,85.609,1.986,low
