cell_id,theta_skew_deg,z,regime
0,73.290,2.320,low
1,63.005,2.698,low
2,88.834,1.914,low
3,83.370,2.039,low
4,77.853,2.184,low
5,89.682,1.896,low
6,89.813,1.893,low
7,89.813,1.893,low
8,75.285,2.258,low
9,89.682,1.896,low
10,48.099,3.534,trans
11,85.195,1.995,low
12,63.610,2.673,low
13,79.519,2.138,low
14,80.243,2.119,low
15,65.472,2.597,low
16,82.989,2.048,low
17,82.989,2.048,low
18,85.615,1.986,low
19,88.211,1.927,low
20,86.814,1.958,low
21,86.814,1.958,low
22,82.811,2.053,low
23,71.847,2.366,low
24,61.635,2.758,low
25,85.566,1.987,low
26,85.195,1.995,low
27,75.149,2.262,low
28,83.904,2.026,low
29,85.566,1.987,low
30,80.572,2.110,low
31,69.849,2.434,low
32,78.384,2.169,low
33,82.515,2.060,low
34,85.860,1.980,low
35,85.708,1.983,low
36,83.349,2.040,low
37,86.954,1.955,low
38,68.073,2.497,low
39,70.256,2.420,low
40,65.259,2.605,low
41,86.955,1.955,low
42,63.936,2.659,low
43,89.228,1.905,low
44,86.942,1.955,low
45,86.942,1.955,low
46,84.143,2.020,low
47,82.051,2.072,low
48,79.335,2.143,low
49,77.936,2.181,low
50,86.258,1.971,low
51,80.780,2.104,low
52,74.524,2.281,low
53,85.150,1.996,low
54,85.150,1.996,low
55,75.219,2.260,low
56,88.939,1.911,low
57,81.341,2.090,low
58,88.000,1.932,low
59,86.363,1.968,low
60,86.363,1.968,low
61,77.576,2.191,low
62,86.347,1.969,low
63,79.845,2.129,low
64,81.619,2.083,low
65,88.843,1.913,low
66,81.619,2.083,low
67,88.559,1.920,low
68,79.790,2.131,low
69,77.042,2.207,low
70,83.827,2.028,low
71,78.625,2.162,low
72,73.070,2.327,low
73,83.405,2.038,low
74,76.363,2.226,low
75,81.994,2.073,low
76,86.207,1.972,low
77,80.572,2.110,low
78,84.324,2.016,low
79,84.324,2.016,low
80,88.897,1.912,low
81,89.700,1.895,low
82,88.897,1.912,low
83,89.700,1.895,low
84,87.831,1.936,low
85,87.831,1.936,low
86,84.600,2.009,low
87,86.922,1.956,low
88,89.165,1.907,low
89,82.270,2.066,low
90,85.504,1.988,low
91,83.221,2.043,low
92,89.165,1.907,low
93,87.626,1.940,low
94,86.954,1.955,low
95,71.474,2.378,low
96,80.824,2.103,low
97,83.746,2.030,low
98,74.929,2.269,low
99,74.545,2.281,low
100,83.746,2.030,low
101,83.103,2.046,low
102,80.956,2.100,low
103,89.377,1.902,low
104,89.377,1.902,low
105,88.733,1.916,low
106,59.451,2.860,low
107,81.884,2.076,low
108,77.853,2.184,low
109,77.853,2.184,low
110,85.274,1.994,low
111,81.466,2.087,low
112,89.394,1.902,low
113,81.626,2.083,low
114,60.667,2.802,low
115,88.414,1.923,low
116,87.326,1.947,low
117,79.596,2.136,low
118,83.003,2.048,low
119,69.424,2.449,low
120,87.635,1.940,low
121,78.257,2.172,low
122,71.900,2.364,low
123,88.709,1.916,low
124,88.709,1.916,low
125,80.280,2.118,low
126,89.236,1.905,low
127,89.269,1.904,low
128,75.871,2.241,low
129,83.895,2.026,low
130,83.725,2.030,low
131,83.827,2.028,low
132,89.326,1.903,low
133,89.326,1.903,low
134,82.385,2.063,low
135,87.635,1.940,low
136,76.712,2.216,low
137,81.558,2.084,low
138,52.928,3.212,trans
139,89.125,1.907,low
140,89.823,1.893,low
141,87.665,1.939,low
142,87.100,1.952,low
143,76.930,2.210,low
144,55.994,3.036,trans
145,84.624,2.009,low
146,84.624,2.009,low
147,89.315,1.903,low
148,50.741,3.350,trans
149,75.658,2.247,low
150,86.258,1.971,low
151,82.811,2.053,low
152,87.923,1.934,low
153,87.923,1.934,low
154,85.728,1.983,low
155,88.652,1.918,low
156,88.652,1.918,low
157,85.676,1.984,low
158,80.832,2.103,low
159,75.641,2.247,low
160,88.488,1.921,low
161,83.710,2.031,low
162,83.710,2.031,low
163,79.524,2.138,low
164,86.773,1.959,low
165,87.343,1.946,low
166,77.037,2.207,low
167,71.306,2.384,low
168,81.341,2.090,low
169,87.343,1.946,low
170,81.868,2.077,low
171,86.055,1.975,low
172,86.312,1.970,low
173,84.122,2.021,low
174,88.000,1.932,low
175,88.608,1.919,low
176,77.123,2.204,low
177,78.026,2.179,low
178,85.316,1.993,low
179,80.352,2.116,low
180,80.352,2.116,low
181,75.182,2.261,low
182,87.119,1.951,low
183,89.946,1.890,low
184,87.119,1.951,low
185,83.109,2.045,low
186,88.890,1.912,low
187,72.559,2.343,low
188,81.155,2.095,low
189,79.748,2.132,low
190,79.907,2.127,low
191,79.698,2.133,low
192,89.946,1.890,low
193,82.829,2.052,low
194,82.169,2.069,low
195,86.826,1.958,low
196,81.386,2.089,low
197,89.294,1.904,low
198,87.308,1.947,low
199,86.297,1.970,low
200,66.845,2.543,low
201,87.860,1.935,low
202,74.999,2.267,low
203,87.860,1.935,low
204,69.468,2.447,low
205,88.843,1.913,low
206,82.512,2.060,low
207,79.302,2.144,low
208,88.143,1.929,low
209,86.967,1.955,low
210,82.271,2.066,low
211,78.120,2.176,low
212,87.294,1.947,low
213,89.219,1.905,low
214,84.739,2.006,low
215,82.278,2.066,low
216,79.268,2.145,low
217,74.392,2.285,low
218,75.479,2.252,low
219,89.594,1.897,low
220,78.041,2.178,low
221,80.658,2.108,low
222,79.672,2.134,low
223,89.725,1.895,low
224,76.081,2.234,low
225,87.902,1.934,low
226,87.724,1.938,low
227,87.293,1.947,low
228,89.619,1.897,low
229,88.789,1.915,low
230,87.811,1.936,low
231,80.184,2.120,low
232,83.079,2.046,low
233,84.817,2.004,low
234,88.288,1.926,low
235,62.936,2.701,low
236,86.693,1.961,low
237,76.293,2.228,low
238,77.197,2.202,low
239,87.344,1.946,low
240,87.767,1.937,low
241,67.819,2.507,low
242,77.062,2.206,low
243,88.679,1.917,low
244,87.668,1.939,low
245,86.989,1.954,low
246,89.831,1.892,low
247,80.975,2.099,low
248,89.831,1.892,low
249,78.257,2.172,low
250,88.288,1.926,low
251,79.518,2.138,low
252,89.161,1.907,low
253,80.900,2.101,low
254,83.167,2.044,low
255,77.906,2.182,low
256,76.090,2.234,low
257,87.567,1.941,low
258,87.853,1.935,low
259,85.982,1.977,low
260,88.498,1.921,low
261,88.498,1.921,low
262,80.296,2.117,low
263,86.668,1.962,low
264,85.510,1.988,low
265,82.248,2.067,low
266,78.617,2.162,low
267,84.561,2.010,low
268,88.331,1.925,low
269,87.365,1.946,low
270,88.230,1.927,low
271,88.230,1.927,low
272,89.236,1.905,low
273,81.948,2.074,low
274,89.071,1.909,low
275,85.747,1.983,low
276,89.071,1.909,low
277,81.994,2.073,low
278,73.733,2.306,low
279,87.557,1.942,low
280,85.344,1.992,low
281,88.157,1.928,low
282,85.526,1.988,low
283,87.963,1.933,low
284,82.601,2.058,low
285,79.723,2.132,low
286,83.205,2.043,low
287,83.205,2.043,low
288,86.308,1.970,low
289,86.308,1.970,low
290,75.638,2.248,low
291,85.047,1.999,low
292,74.388,2.285,low
293,74.546,2.280,low
294,79.417,2.141,low
295,88.547,1.920,low
296,88.547,1.920,low
297,89.579,1.898,low
298,89.720,1.895,low
299,79.862,2.129,low
300,82.515,2.060,low
301,79.159,2.148,low
302,79.159,2.148,low
303,67.238,2.528,low
304,68.654,2.476,low
305,60.584,2.806,low
306,71.488,2.378,low
307,79.161,2.148,low
308,80.610,2.109,low
309,79.161,2.148,low
310,85.163,1.996,low
311,79.519,2.138,low
312,85.932,1.978,low
313,68.198,2.493,low
314,82.511,2.060,low
315,81.679,2.081,low
316,87.754,1.937,low
317,72.962,2.330,low
318,77.483,2.194,low
319,69.814,2.435,low
320,89.467,1.900,low
321,86.494,1.965,low
322,78.613,2.162,low
323,86.764,1.959,low
324,84.865,2.003,low
325,84.865,2.003,low
326,84.816,2.004,low
327,83.800,2.029,low
328,84.596,2.010,low
329,78.072,2.177,low
330,84.595,2.010,low
331,86.223,1.972,low
332,70.847,2.400,low
333,84.816,2.004,low
334,89.451,1.900,low
335,89.451,1.900,low
336,83.800,2.029,low
337,84.437,2.013,low
338,84.437,2.013,low
339,89.632,1.897,low
340,83.221,2.043,low
341,83.001,2.048,low
342,80.077,2.123,low
343,79.763,2.131,low
344,88.252,1.926,low
345,81.679,2.081,low
346,85.903,1.979,low
347,85.903,1.979,low
348,87.137,1.951,low
349,89.381,1.902,low
350,78.854,2.156,low
351,84.598,2.010,low
352,78.854,2.156,low
353,71.707,2.371,low
354,88.773,1.915,low
355,80.150,2.121,low
356,88.773,1.915,low
357,82.928,2.050,low
358,73.986,2.298,low
359,78.775,2.158,low
360,87.365,1.946,low
361,87.365,1.946,low
362,86.334,1.969,low
363,87.708,1.938,low
364,83.890,2.026,low
365,86.426,1.967,low
366,78.829,2.157,low
367,56.040,3.034,trans
368,89.177,1.906,low
369,72.125,2.357,low
370,79.340,2.143,low
371,81.006,2.099,low
372,75.647,2.247,low
373,82.111,2.070,low
374,81.435,2.088,low
375,85.901,1.979,low
376,61.645,2.758,low
377,71.508,2.377,low
378,89.507,1.899,low
379,85.790,1.982,low
380,87.732,1.938,low
381,65.989,2.576,low
382,88.593,1.919,low
383,84.110,2.021,low
384,76.512,2.222,low
385,84.818,2.004,low
386,85.142,1.997,low
387,69.982,2.429,low
388,85.142,1.997,low
389,74.837,2.272,low
390,81.213,2.093,low
391,61.267,2.775,low
392,88.738,1.916,low
393,78.653,2.161,low
394,72.548,2.343,low
395,70.263,2.419,low
396,86.917,1.956,low
397,89.878,1.891,low
398,76.741,2.215,low
399,86.733,1.960,low
400,75.939,2.239,low
401,53.344,3.187,trans
402,82.914,2.050,low
403,80.242,2.119,low
404,84.927,2.002,low
405,59.200,2.872,low
406,84.927,2.002,low
407,83.657,2.032,low
408,57.089,2.978,low
409,57.089,2.978,low
410,83.310,2.041,low
411,83.310,2.041,low
412,88.298,1.925,low
413,78.161,2.175,low
414,81.318,2.091,low
415,81.318,2.091,low
416,84.420,2.014,low
417,86.303,1.970,low
418,84.034,2.023,low
419,79.856,2.129,low
420,82.702,2.056,low
421,81.948,2.074,low
422,72.050,2.359,low
423,88.295,1.925,low
424,68.082,2.497,low
425,80.346,2.116,low
426,86.774,1.959,low
427,65.536,2.594,low
428,66.849,2.543,low
429,88.883,1.913,low
430,72.050,2.359,low
431,85.758,1.982,low
432,84.893,2.003,low
433,79.361,2.142,low
434,84.014,2.023,low
435,65.074,2.612,low
436,82.293,2.066,low
437,88.990,1.910,low
438,87.987,1.932,low
439,85.403,1.991,low
440,89.341,1.903,low
441,61.413,2.768,low
442,88.909,1.912,low
443,81.472,2.087,low
444,86.378,1.968,low
445,83.733,2.030,low
446,82.854,2.052,low
447,86.955,1.955,low
448,78.131,2.176,low
449,87.081,1.952,low
450,83.744,2.030,low
451,78.257,2.172,low
452,80.835,2.103,low
453,64.157,2.650,low
454,76.909,2.210,low
455,87.617,1.940,low
456,87.084,1.952,low
457,87.617,1.940,low
458,76.909,2.210,low
459,82.844,2.052,low
460,78.958,2.153,low
461,83.079,2.046,low
462,89.933,1.890,low
463,80.975,2.099,low
464,81.982,2.074,low
465,65.378,2.600,low
466,78.234,2.173,low
467,75.447,2.253,low
468,89.236,1.905,low
469,70.298,2.418,low
470,76.514,2.222,low
471,82.845,2.052,low
472,67.672,2.512,low
473,81.851,2.077,low
474,82.813,2.053,low
475,86.451,1.966,low
476,66.367,2.562,low
477,88.614,1.918,low
478,85.736,1.983,low
479,86.681,1.961,low
480,80.008,2.125,low
481,80.008,2.125,low
482,70.618,2.407,low
483,82.638,2.057,low
484,88.120,1.929,low
485,78.408,2.168,low
486,78.408,2.168,low
487,80.697,2.107,low
488,89.396,1.902,low
489,87.465,1.944,low
490,84.884,2.003,low
491,82.116,2.070,low
492,84.884,2.003,low
493,82.756,2.054,low
494,69.709,2.439,low
495,86.969,1.955,low
496,85.089,1.998,low
497,85.316,1.993,low
498,83.072,2.046,low
499,70.676,2.405,low
500,89.148,1.907,low
501,77.048,2.206,low
502,88.834,1.914,low
503,86.437,1.967,low
504,83.370,2.039,low
505,83.875,2.027,low
506,89.228,1.905,low
507,82.517,2.060,low
508,85.415,1.990,low
509,87.610,1.940,low
510,80.313,2.117,low
511,89.291,1.904,low
512,89.148,1.907,low
513,88.382,1.923,low
514,88.229,1.927,low
515,87.119,1.951,low
516,83.031,2.047,low
517,71.934,2.363,low
518,87.081,1.952,low
519,78.225,2.173,low
520,18.310,9.284,high
521,89.125,1.907,low
522,88.403,1.923,low
523,87.764,1.937,low
524,79.897,2.128,low
525,88.732,1.916,low
526,76.915,2.210,low
527,80.582,2.110,low
528,89.388,1.902,low
529,82.096,2.071,low
530,80.582,2.110,low
531,87.976,1.932,low
532,87.805,1.936,low
533,87.976,1.932,low
534,87.165,1.950,low
535,82.455,2.062,low
536,83.003,2.048,low
537,87.665,1.939,low
538,84.867,2.003,low
539,83.823,2.028,low
540,83.823,2.028,low
541,82.455,2.062,low
542,85.557,1.987,low
543,83.034,2.047,low
544,89.872,1.892,low
545,89.872,1.892,low
546,73.109,2.325,low
547,80.787,2.104,low
548,56.965,2.984,low
549,88.098,1.930,low
550,63.377,2.682,low
551,78.365,2.169,low
552,87.100,1.952,low
553,85.071,1.998,low
554,75.993,2.237,low
555,84.967,2.001,low
556,65.035,2.614,low
557,87.538,1.942,low
558,83.195,2.043,low
559,76.318,2.228,low
560,84.246,2.018,low
561,84.246,2.018,low
562,70.411,2.414,low
563,89.315,1.903,low
564,75.780,2.243,low
565,84.179,2.019,low
566,87.123,1.951,low
567,88.418,1.923,low
568,89.231,1.905,low
569,89.231,1.905,low
570,87.038,1.953,low
571,85.743,1.983,low
572,87.038,1.953,low
573,71.553,2.376,low
574,66.758,2.546,low
575,88.488,1.921,low
576,87.730,1.938,low
577,86.537,1.964,low
578,51.957,3.272,trans
579,74.077,2.295,low
580,88.162,1.928,low
581,85.743,1.983,low
582,84.562,2.010,low
583,53.448,3.181,trans
584,72.623,2.341,low
585,74.502,2.282,low
586,81.408,2.088,low
587,65.148,2.609,low
588,87.793,1.936,low
589,89.499,1.899,low
590,76.610,2.219,low
591,87.762,1.937,low
592,89.499,1.899,low
593,87.762,1.937,low
594,84.567,2.010,low
595,88.880,1.913,low
596,76.490,2.223,low
597,87.557,1.942,low
598,79.547,2.137,low
599,76.105,2.234,low
600,81.773,2.079,low
601,72.387,2.348,low
602,71.291,2.385,low
603,76.600,2.219,low
604,77.001,2.208,low
605,88.143,1.929,low
606,87.984,1.932,low
607,88.732,1.916,low
608,88.778,1.915,low
609,79.971,2.126,low
610,88.778,1.915,low
611,62.131,2.736,low
612,87.461,1.944,low
613,76.630,2.218,low
614,71.794,2.368,low
615,84.122,2.021,low
616,82.388,2.063,low
617,79.257,2.145,low
618,75.762,2.244,low
619,85.724,1.983,low
620,88.890,1.912,low
621,72.185,2.355,low
622,72.185,2.355,low
623,87.173,1.950,low
624,87.173,1.950,low
625,84.339,2.016,low
626,79.257,2.145,low
627,85.263,1.994,low
628,85.263,1.994,low
629,75.948,2.238,low
630,77.174,2.203,low
631,73.487,2.313,low
632,83.724,2.030,low
633,64.502,2.636,low
634,65.315,2.603,low
635,88.663,1.917,low
636,88.072,1.930,low
637,81.017,2.098,low
638,72.824,2.334,low
639,85.319,1.993,low
640,89.123,1.907,low
641,89.123,1.907,low
642,85.712,1.983,low
643,82.640,2.057,low
644,78.382,2.169,low
645,88.174,1.928,low
646,76.441,2.224,low
647,83.402,2.038,low
648,88.174,1.928,low
649,84.848,2.004,low
650,82.559,2.059,low
651,86.444,1.967,low
652,86.729,1.960,low
653,78.681,2.161,low
654,86.533,1.965,low
655,87.628,1.940,low
656,87.628,1.940,low
657,66.723,2.548,low
658,89.070,1.909,low
659,89.068,1.909,low
660,79.665,2.134,low
661,88.560,1.920,low
662,85.707,1.984,low
663,64.606,2.631,low
664,87.958,1.933,low
665,65.092,2.612,low
666,85.714,1.983,low
667,85.714,1.983,low
668,80.774,2.105,low
669,80.774,2.105,low
670,89.984,1.889,low
671,89.984,1.889,low
672,86.848,1.957,low
673,66.186,2.569,low
674,86.848,1.957,low
675,81.617,2.083,low
676,75.069,2.265,low
677,86.052,1.976,low
678,83.762,2.030,low
679,88.585,1.919,low
680,85.986,1.977,low
681,87.308,1.947,low
682,81.991,2.073,low
683,84.262,2.018,low
684,87.359,1.946,low
685,83.424,2.038,low
686,87.359,1.946,low
687,80.001,2.125,low
688,62.475,2.721,low
689,87.658,1.939,low
690,82.093,2.071,low
691,87.364,1.946,low
692,62.218,2.732,low
693,56.045,3.033,trans
694,67.915,2.503,low
695,79.795,2.130,low
696,75.558,2.250,low
697,80.647,2.108,low
698,72.071,2.359,low
699,49.898,3.407,trans
700,86.876,1.957,low
701,81.335,2.090,low
702,85.707,1.984,low
703,79.302,2.144,low
704,88.996,1.910,low
705,87.020,1.954,low
706,85.256,1.994,low
707,87.020,1.954,low
708,85.139,1.997,low
709,74.684,2.276,low
710,76.442,2.224,low
711,76.489,2.223,low
712,82.512,2.060,low
713,82.540,2.060,low
714,70.140,2.424,low
715,75.084,2.264,low
716,84.860,2.003,low
717,85.852,1.980,low
718,86.185,1.972,low
719,82.121,2.070,low
720,73.173,2.323,low
721,84.378,2.015,low
722,87.017,1.954,low
723,87.017,1.954,low
724,87.538,1.942,low
725,79.217,2.146,low
726,80.417,2.114,low
