cell_id,theta_skew_deg,z,regime
0,78.834,2.156,low
1,66.805,2.545,low
2,73.870,2.301,low
3,82.890,2.051,low
4,82.890,2.051,low
5,84.701,2.007,low
6,88.672,1.917,low
7,55.481,3.064,trans
8,85.529,1.988,low
9,59.805,2.843,low
10,81.515,2.086,low
11,78.551,2.164,low
12,85.193,1.995,low
13,78.551,2.164,low
14,67.729,2.510,low
15,88.672,1.917,low
16,71.761,2.369,low
17,73.280,2.320,low
18,79.779,2.131,low
19,62.142,2.736,low
20,86.960,1.955,low
21,86.960,1.955,low
22,74.275,2.289,low
23,83.978,2.024,low
24,83.978,2.024,low
25,81.970,2.074,low
26,72.441,2.347,low
27,72.441,2.347,low
28,86.648,1.962,low
29,73.257,2.321,low
30,81.680,2.081,low
31,81.653,2.082,low
32,81.653,2.082,low
33,78.538,2.165,low
34,64.314,2.643,low
35,86.659,1.962,low
36,89.687,1.895,low
37,89.687,1.895,low
38,67.347,2.524,low
39,74.011,2.297,low
40,80.370,2.115,low
41,69.400,2.450,low
42,81.998,2.073,low
43,75.977,2.238,low
44,74.897,2.270,low
45,88.597,1.919,low
46,73.476,2.314,low
47,87.380,1.946,low
48,87.380,1.946,low
49,88.016,1.931,low
50,72.380,2.349,low
51,85.168,1.996,low
52,58.199,2.921,low
53,83.853,2.027,low
54,84.498,2.012,low
55,20.023,8.490,high
56,70.822,2.400,low
57,85.065,1.998,low
58,85.420,1.990,low
59,77.969,2.180,low
60,84.494,2.012,low
61,86.491,1.966,low
62,72.916,2.331,low
63,89.122,1.908,low
64,83.522,2.035,low
65,40.832,4.163,trans
66,84.701,2.007,low
67,63.023,2.697,low
68,89.288,1.904,low
69,84.622,2.009,low
70,73.433,2.315,low
71,78.880,2.155,low
72,73.433,2.315,low
73,89.895,1.891,low
74,89.895,1.891,low
75,67.538,2.517,low
76,87.384,1.945,low
77,89.532,1.899,low
78,89.494,1.900,low
79,82.796,2.053,low
80,86.151,1.973,low
81,81.142,2.095,low
82,81.351,2.090,low
83,81.351,2.090,low
84,76.727,2.216,low
85,61.425,2.768,low
86,82.619,2.058,low
87,86.767,1.959,low
88,86.767,1.959,low
89,88.962,1.911,low
90,83.103,2.046,low
91,83.703,2.031,low
92,81.848,2.077,low
93,76.763,2.215,low
94,76.763,2.215,low
95,69.148,2.458,low
96,76.282,2.229,low
97,85.676,1.984,low
98,54.300,3.131,trans
99,85.676,1.984,low
100,75.307,2.257,low
101,80.219,2.119,low
102,85.859,1.980,low
103,84.704,2.007,low
104,81.833,2.077,low
105,65.213,2.607,low
106,75.940,2.239,low
107,81.984,2.074,low
108,75.349,2.256,low
109,88.118,1.929,low
110,69.160,2.458,low
111,88.118,1.929,low
112,88.051,1.931,low
113,59.447,2.860,low
114,86.648,1.962,low
115,59.447,2.860,low
116,87.717,1.938,low
117,80.094,2.123,low
118,81.811,2.078,low
119,89.122,1.907,low
120,82.575,2.059,low
121,89.839,1.892,low
122,88.417,1.923,low
123,88.417,1.923,low
124,72.711,2.338,low
125,58.785,2.892,low
126,68.188,2.493,low
127,86.659,1.962,low
128,62.830,2.706,low
129,87.485,1.943,low
130,25.805,6.588,high
131,85.681,1.984,low
132,85.681,1.984,low
133,24.889,6.830,high
134,86.867,1.957,low
135,80.624,2.109,low
136,87.595,1.941,low
137,89.693,1.895,low
138,89.443,1.901,low
139,86.193,1.972,low
140,83.339,2.040,low
141,83.339,2.040,low
142,61.866,2.748,low
143,77.751,2.186,low
144,62.196,2.733,low
145,84.645,2.008,low
146,83.970,2.025,low
147,73.518,2.312,low
148,77.847,2.184,low
149,85.814,1.981,low
150,83.604,2.033,low
151,89.645,1.896,low
152,79.878,2.128,low
153,84.298,2.017,low
154,86.933,1.956,low
155,89.201,1.906,low
156,78.582,2.163,low
157,83.206,2.043,low
158,88.107,1.929,low
159,78.239,2.173,low
160,84.077,2.022,low
161,81.998,2.073,low
162,88.597,1.919,low
163,81.681,2.081,low
164,88.859,1.913,low
165,80.901,2.101,low
166,84.870,2.003,low
167,84.678,2.008,low
168,86.714,1.960,low
169,86.210,1.972,low
170,78.835,2.156,low
171,85.168,1.996,low
172,79.757,2.131,low
173,81.335,2.090,low
174,81.335,2.090,low
175,88.673,1.917,low
176,81.077,2.097,low
177,84.077,2.022,low
178,83.497,2.036,low
179,64.002,2.656,low
180,84.406,2.014,low
181,81.334,2.090,low
182,76.038,2.236,low
183,83.850,2.027,low
184,79.960,2.126,low
185,76.799,2.214,low
186,72.127,2.357,low
187,86.382,1.968,low
188,80.197,2.120,low
189,87.493,1.943,low
190,88.298,1.925,low
191,48.331,3.517,trans
192,89.566,1.898,low
193,72.035,2.360,low
194,86.677,1.961,low
195,83.110,2.045,low
196,81.483,2.086,low
197,81.799,2.078,low
198,78.863,2.156,low
199,83.262,2.042,low
200,89.873,1.892,low
201,89.873,1.892,low
202,20.638,8.237,high
203,43.357,3.921,trans
204,76.143,2.233,low
205,49.333,3.446,trans
206,89.850,1.892,low
207,84.480,2.012,low
208,70.150,2.423,low
209,49.485,3.435,trans
210,70.562,2.409,low
211,84.494,2.012,low
212,78.353,2.170,low
213,78.353,2.170,low
214,86.783,1.959,low
215,89.024,1.910,low
216,84.081,2.022,low
217,82.597,2.058,low
218,89.563,1.898,low
219,74.280,2.289,low
220,87.320,1.947,low
221,82.578,2.059,low
222,78.347,2.170,low
223,87.970,1.932,low
224,76.491,2.222,low
225,81.493,2.086,low
226,77.792,2.185,low
227,77.923,2.182,low
228,77.923,2.182,low
229,71.947,2.363,low
230,77.858,2.183,low
231,77.858,2.183,low
232,24.062,7.065,high
233,74.259,2.289,low
234,74.259,2.289,low
235,53.840,3.158,trans
236,58.422,2.910,low
237,56.845,2.991,low
238,58.422,2.910,low
239,74.187,2.292,low
240,86.150,1.973,low
241,63.886,2.661,low
242,89.288,1.904,low
243,66.738,2.547,low
244,86.958,1.955,low
