run_id,seed,Du,Dv,F,k,grid,steps,sample_every,tau_r_median,tau_r_ci_low,tau_r_ci_high,L_nn_median,L_nn_ci_low,L_nn_ci_high,L_spec_final,L_agreement_abs,Pe_r_median,Pe_r_ci_low,Pe_r_ci_high,entropy_mean,entropy_std,spot_count_mean,spot_volatility,spectral_peak_sharpness,n_splits,n_birth_events,n_intervals
Du_0.080_seed_0,20340307,0.08,0.08,0.026,0.051,96,3200,40,1599.5,1599.5,1599.5,55.72759738098076,32.0,58.01257489979348,37.6,18.12759738098076,24.269811736923206,8.002500781494216,26.3008662590196,0.4700529754423705,0.11093696881532342,1.8148148148148149,1.165232850907771,10.70514190442678,0,2,1
Du_0.080_seed_1,20340308,0.08,0.08,0.026,0.051,96,3200,40,1599.5,1599.5,1599.5,32.0,31.90688606597154,32.221002738006334,188.0,156.0,8.002500781494216,7.956000839121243,8.057959586756063,0.47813920829474926,0.1178448648527696,1.6419753086419753,1.2850325766046389,18.449610720290718,0,2,1
Du_0.200_seed_0,20460307,0.2,0.08,0.026,0.051,96,3200,40,3199.0,3199.0,3199.0,31.976123596784703,31.924601505889154,32.0,188.0,156.0238764032153,1.5981135516715876,1.5929669828687203,1.6005001562988432,0.21838293724101762,0.23313071471445318,1.3580246913580247,1.6211922966785641,2.4495970915593366e-34,0,0,0
Du_0.200_seed_1,20460308,0.2,0.08,0.026,0.051,96,3200,40,3199.0,3199.0,3199.0,31.93636808412799,31.89593505526149,31.976253433205162,188.0,156.063631915872,1.5941413306177834,1.5901076330139179,1.5981265200437629,0.21794161142176893,0.23310347794343478,1.3580246913580247,1.6211922966785641,9.255617874844788e-35,0,0,0
Du_0.400_seed_0,20660307,0.4,0.08,0.026,0.051,96,3200,40,20.0,20.0,40.0,26.98148148148148,26.92320357707002,27.025,11.058823529411766,15.922657952069715,91.00004286694102,90.60736135654449,91.29382812499999,0.7264846354798915,0.12585441571903397,5.728395061728395,0.8516885812067151,29.422068238763813,0,6,5
Du_0.400_seed_1,20660308,0.4,0.08,0.026,0.051,96,3200,40,20.0,20.0,40.0,26.950812958679364,26.883188996090794,31.92494451877563,11.058823529411766,15.891989429267598,90.79335104149345,90.3392405592434,127.44752515640462,0.7263348501507974,0.12580592272620125,5.530864197530864,0.8807663494053902,29.44874318966065,0,11,10
Du_0.800_seed_0,21060307,0.8,0.08,0.026,0.051,96,3200,40,10.0,10.0,10.0,31.959977501674896,31.907103609551225,31.973679500365442,11.058823529411766,20.90115397226313,127.6800202439862,127.25292355396424,127.78947004268639,0.7574536217336205,0.17513286111203122,15.506172839506172,1.1925135740464177,33.764628013044,0,6,5
Du_0.800_seed_1,21060308,0.8,0.08,0.026,0.051,96,3200,40,10.0,10.0,10.0,31.948178765053424,31.923855453557074,31.96672172451142,11.058823529411766,20.88935523564166,127.58576580047631,127.37000407204194,127.735886630084,0.7602282597680736,0.17511367256773813,15.308641975308642,1.1735480989199665,33.756151362864564,0,10,9
Du_1.200_seed_0,21460307,1.2,0.08,0.026,0.051,96,3200,40,533.1666666666667,533.1666666666667,533.1666666666667,31.98925362685417,31.98491557967491,31.9937881234751,11.058823529411766,20.930430097442404,1.599425364180271,1.598963531342403,1.5998933180639905,0.7445049327311752,0.2114875005671389,8.049382716049383,0.31712510388515547,31.03123716867698,0,0,0
Du_1.200_seed_1,21460308,1.2,0.08,0.026,0.051,96,3200,40,533.1666666666667,533.1666666666667,533.1666666666667,31.974914392240116,31.96730753934706,31.979771732736697,11.058823529411766,20.916090862828348,1.597991800273478,1.5972671408170696,1.5984807778527674,0.7441262280055578,0.21116687884743987,8.037037037037036,0.3203345105434612,31.034308760379016,0,0,0
Du_2.000_seed_0,22260307,2.0,0.08,0.026,0.051,96,3200,40,319.90000000000003,319.90000000000003,319.90000000000003,31.97605000323558,31.966638076127648,31.979720038176243,17.09090909090909,14.885140912326492,1.5981053044848736,1.5971646606597902,1.5984721689905141,0.6659112766601085,0.23951905264589607,9.0,0.0,37.68838945433643,0,0,0
Du_2.000_seed_1,22260308,2.0,0.08,0.026,0.051,96,3200,40,319.90000000000003,319.90000000000003,319.90000000000003,31.962550327440873,31.954077408535994,31.97592785639053,17.09090909090909,14.871641236531783,1.5967562104316826,1.595858613519078,1.5982067901185038,0.6644228906115536,0.23924082984673584,9.0,0.0,37.690914232453366,0,0,0
Du_3.000_seed_0,23260307,3.0,0.08,0.026,0.051,96,3200,40,213.26666666666665,213.26666666666665,213.26666666666665,31.976679549854786,31.963166105806927,31.981171548117153,17.09090909090909,14.885770458945697,1.5981682323133815,1.596989816189928,1.5987775774650335,0.5579123797418274,0.23528481788626848,9.0,0.0,30.830471631731953,0,0,0
Du_3.000_seed_1,23260308,3.0,0.08,0.026,0.051,96,3200,40,213.26666666666665,213.26666666666665,213.26666666666665,31.969865233549477,31.962831553465943,31.97962297409922,17.09090909090909,14.878956142640387,1.5974871570042446,1.596770064535665,1.5984624657166846,0.5598631757926069,0.235490378057465,9.0,0.0,30.896509240456265,0,0,0
