exp,nu,noise_rel,obs_kfrac,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,status,verdict
exp2,0.001,0.01,16,0.5001965173622069,3.366766757661575e-16,0.5858628792237038,585862879223.7039,0.13556851311953352,1082.5809495035398,1372,0.3411752436035099,ok,Inconclusive
exp2,0.001,0.01,16,1.1004323381968548,5.144148905739162e-16,0.9233339311979053,923333931197.9053,0.05830903790087463,1080.7517735447166,1372,0.8162883385719893,ok,Inconclusive
exp2,0.001,0.01,16,1.7006681590315027,5.696592912679889e-16,1.2024155018480445,1202415501848.0444,0.03206997084548105,826.9261118194925,1372,0.9921472633356866,ok,Inconclusive
exp2,0.001,0.01,16,2.29953357844872,8.197807666469393e-16,4.941488920950331,4941488920950.331,0.021865889212827987,781.0324388125092,1372,1.280421979773136,ok,Inconclusive
exp2,0.001,0.01,16,2.899769399283368,1.1002037921995593e-15,32.61770195365426,32617701953654.26,0.0058309037900874635,761.9004994298391,1372,1.6009135053399703,ok,Inconclusive
exp2,0.001,0.01,16,3.500005220118016,2.928628704709686e-15,,,,,1372,,diverged,Inconclusive
