exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.0005,0.01,0.49974652130855146,1.895256481337881e-14,0.7939766073838104,793976607383.8104,0.07580174927113703,441.0250273757495,1372,0.14846498752095114,Supported
exp1,0.0005,0.01,1.1427324913998091,4.3233086920434305e-14,1.3503336843265714,1350333684326.5715,0.07580174927113703,478.96622770185553,1372,0.3686892702125831,Supported
exp1,0.0005,0.01,1.7857184614910662,6.761681968003784e-14,39.488877597815154,39488877597815.16,0.07580174927113703,524.2644911027264,1372,0.6306297618505794,Supported
exp1,0.0005,0.01,2.428704431582323,9.212496900669233e-14,1648.9380327525992,1648938032752599.2,0.07580174927113703,578.8104509761584,1372,0.946939123630951,Supported
exp1,0.0005,0.01,3.071690401673581,1.1669847374145134e-13,72697.5449552251,7.269754495522509e+16,0.07580174927113703,645.2788220769688,1372,1.3351679024983805,Supported
exp1,0.0005,0.01,3.714676371764838,1.4085463723574644e-13,3295268.7682141853,3.2952687682141855e+18,0.07580174927113703,726.5838062993424,1372,1.8180998394915795,Supported
exp1,0.0005,0.01,4.356866567140635,1.6495136439914199e-13,151030577.24095282,1.5103057724095283e+20,0.07580174927113703,823.5088684406821,1372,2.416871557257198,Supported
exp1,0.0005,0.01,4.9998525372318925,1.8910629334826565e-13,7013107666.503069,7.013107666503069e+21,0.07580174927113703,927.8391062667235,1372,3.124934361844503,Supported
exp1,0.0005,0.02,0.49974652130855146,1.895256481337881e-14,0.7983577110406858,798357711040.6858,0.0641399416909621,441.0250273757495,1372,0.15033836275780857,Supported
exp1,0.0005,0.02,1.1427324913998091,4.3233086920434305e-14,2.194016211716917,2194016211716.917,0.0641399416909621,478.96622770185553,1372,0.3733415007515431,Supported
exp1,0.0005,0.02,1.7857184614910662,6.761681968003784e-14,73.08512065047861,73085120650478.61,0.0641399416909621,524.2644911027264,1372,0.6385872351862335,Supported
exp1,0.0005,0.02,2.428704431582323,9.212496900669233e-14,3057.9179613815127,3057917961381512.5,0.0641399416909621,578.8104509761584,1372,0.9588878822887549,Supported
exp1,0.0005,0.02,3.071690401673581,1.1669847374145134e-13,137774.62282255638,1.3777462282255638e+17,0.0641399416909621,645.2788220769688,1372,1.352015447009401,Supported
exp1,0.0005,0.02,3.714676371764838,1.4085463723574644e-13,6480628.031529137,6.480628031529137e+18,0.0641399416909621,726.5838062993424,1372,1.8410411623873724,Supported
exp1,0.0005,0.02,4.356866567140635,1.6495136439914199e-13,311755278.9392096,3.117552789392096e+20,0.0641399416909621,823.5088684406821,1372,2.4473683592415165,Supported
exp1,0.0005,0.02,4.9998525372318925,1.8910629334826565e-13,15334124360.237131,1.5334124360237131e+22,0.0641399416909621,927.8391062667235,1372,3.164365710258945,Supported
exp1,0.001,0.01,0.49974652130855146,1.852326900975594e-14,0.8583116881646736,858311688164.6736,0.052478134110787174,348.16754436936884,1372,0.12016367269933906,Supported
exp1,0.001,0.01,1.1427324913998091,4.238211727776613e-14,1002.3760534627376,1002376053462737.6,0.052478134110787174,381.1836888224156,1372,0.30082506137520887,Supported
exp1,0.001,0.01,1.7857184614910662,6.681600695035925e-14,2552507.7121535013,2.552507712153501e+18,0.052478134110787174,423.7309550121796,1372,0.5225625832941825,Supported
exp1,0.001,0.01,2.428704431582323,9.072916481381061e-14,7124490748.08379,7.12449074808379e+21,0.052478134110787174,479.629824045017,1372,0.8044813401146299,Supported
exp1,0.001,0.01,3.071690401673581,1.1488108695744445e-13,20986091307704.688,2.0986091307704688e+25,0.05393586005830904,554.2557854405686,1372,1.1739622865049748,Supported
exp1,0.001,0.01,3.714676371764838,1.388708575295954e-13,6.4176995076165224e+16,6.417699507616523e+28,0.01020408163265306,658.7043723172444,1372,1.7652372231736069,Supported
exp1,0.001,0.01,4.356866567140635,1.6280157244100603e-13,1.9868898758875247e+20,1.9868898758875247e+32,0.0,812.6250892155055,1372,2.5805386901040173,Supported
exp1,0.001,0.01,4.9998525372318925,1.8695203747856526e-13,6.23631803075718e+23,6.2363180307571794e+35,0.0,1044.5392585503835,1372,3.8065176837474155,Supported
exp1,0.001,0.02,0.49974652130855146,1.852326900975594e-14,1.27677801498855,1276778014988.55,0.04956268221574344,348.16754436936884,1372,0.1205334070768755,Supported
exp1,0.001,0.02,1.1427324913998091,4.238211727776613e-14,1797.8886688470795,1797888668847079.5,0.04956268221574344,381.1836888224156,1372,0.301750676948671,Supported
exp1,0.001,0.02,1.7857184614910662,6.681600695035925e-14,4710778.351305258,4.710778351305259e+18,0.04956268221574344,423.7309550121796,1372,0.5241704681658569,Supported
exp1,0.001,0.02,2.428704431582323,9.072916481381061e-14,14407307376.403822,1.4407307376403822e+22,0.04956268221574344,479.629824045017,1372,0.8069566673149826,Supported
exp1,0.001,0.02,3.071690401673581,1.1488108695744445e-13,47028111824705.695,4.702811182470569e+25,0.05102040816326531,554.2557854405686,1372,1.1775800439364232,Supported
exp1,0.001,0.02,3.714676371764838,1.388708575295954e-13,1.5733067323583334e+17,1.5733067323583335e+29,0.006559766763848397,658.7043723172444,1372,1.771736623848031,Supported
exp1,0.001,0.02,4.356866567140635,1.6280157244100603e-13,5.217506903983438e+20,5.217506903983438e+32,0.0,812.6250892155055,1372,2.5805386901040173,Supported
exp1,0.001,0.02,4.9998525372318925,1.8695203747856526e-13,1.7189332532873395e+24,1.7189332532873396e+36,0.0,1044.5392585503835,1372,3.8065176837474155,Supported
