exp,nu,noise_rel,obs_kfrac,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,status,verdict
exp2,0.0005,0.01,16,0.5001965173622065,4.2175848742320286e-16,0.6165336292111243,616533629211.1243,0.10349854227405247,435.852888620906,1372,0.14245492910778826,ok,Inconclusive
exp2,0.0005,0.01,16,0.8565008858941895,7.533737233649713e-16,0.848239449186528,848239449186.5281,0.14868804664723032,506.36052633716787,1372,0.2691053173035314,ok,Inconclusive
exp2,0.0005,0.01,16,1.214175655843603,1.0325874442408933e-15,0.9191442491360046,919144249136.0046,0.16909620991253643,366.0969317609509,1372,0.2691994936922695,ok,Inconclusive
exp2,0.0005,0.01,16,1.5718504257930164,1.9802408661101275e-15,0.8602463149913531,860246314991.353,0.14868804664723032,339.26393373943546,1372,0.3308899147925763,ok,Inconclusive
exp2,0.0005,0.01,16,1.928154794324999,1.3830618680163429e-15,0.6681238689175599,668123868917.5599,0.15451895043731778,540.7042210997793,1372,0.6424678843537516,ok,Inconclusive
exp2,0.0005,0.01,16,2.2858295642744126,1.2847370420500016e-15,0.7469922673419549,746992267341.955,0.10058309037900874,382.4191160485411,1372,0.5730471747617831,ok,Inconclusive
exp2,0.0005,0.01,16,2.643504334223826,3.17571137892585e-15,1.0867529005704457,1086752900570.4457,0.056851311953352766,303.77260928329474,1372,0.5520198465249272,ok,Inconclusive
exp2,0.0005,0.01,16,2.9998087027558094,1.317288733993011e-14,1.4545535076971796,1454553507697.1797,0.04081632653061224,39.46643908569717,1372,0.08276927871563412,ok,Inconclusive
exp2,0.001,0.01,16,0.5001965173622065,3.780870885942803e-16,0.6032432588263692,603243258826.3693,0.10787172011661808,1107.0406238935798,1372,0.3600621054639567,ok,Inconclusive
exp2,0.001,0.01,16,0.8565008858941895,5.32056620486787e-16,0.8407725398754247,840772539875.4247,0.10641399416909621,694.9912743333123,1372,0.38769430003776695,ok,Inconclusive
exp2,0.001,0.01,16,1.214175655843603,4.562182422978167e-16,0.9074426603896832,907442660389.6832,0.10058309037900874,752.1585927896786,1372,0.5986843138436848,ok,Inconclusive
exp2,0.001,0.01,16,1.5718504257930164,5.387376114330318e-16,1.0291170453325598,1029117045332.5598,0.04956268221574344,589.3369608166038,1372,0.641718064350772,ok,Inconclusive
exp2,0.001,0.01,16,1.928154794324999,7.153232870526297e-16,1.949387694227052,1949387694227.052,0.021865889212827987,847.613634842464,1372,1.165156128729069,ok,Inconclusive
exp2,0.001,0.01,16,2.2858295642744126,2.1870789738669364e-15,5.053583567319551,5053583567319.551,0.013119533527696793,653.9191104068109,1372,1.0751729180002214,ok,Inconclusive
exp2,0.001,0.01,16,2.643504334223826,1.0762068216527655e-15,14.174767203761654,14174767203761.654,0.008746355685131196,678.1086340556441,1372,1.2951199298086593,ok,Inconclusive
exp2,0.001,0.01,16,2.9998087027558094,2.4955986470997852e-15,46.82335746830158,46823357468301.58,0.0,451.0080307435577,1372,0.9861062796190118,ok,Inconclusive
